name,address,city,state,zip,phone,clia_number,lab_type,cms_facility_type_name,test_volume,site_count
JCDH WESTERN HEALTH CENTER DISEASE CONTROL,631 BESSEMER SUPER HWY,MIDFIELD,AL,35228,2059301372,01D2265958,REFERENCE,public_health_lab,1000,0
ECLIPSE PATHOLOGY LLC,"12205 COUNTY LINE ROAD, SUITE G",MADISON,AL,35758,2567713291,01D2286108,REFERENCE,independent,7000,0
SOUTHEAST CLINICAL LABORATORIES - WALKER MEDICAL,1446 JONES DAIRY ROAD,JASPER,AL,35501,2059187156,01D2327017,REFERENCE,independent,230000,0
"MEDESSIA HEALTH, LLC",2106 EXECUTIVE PARK DRIVE,OPELIKA,AL,36801,3346632904,01D2340785,REFERENCE,independent,0,0
LABORATORY CORPORATION OF AMERICA,"188 NORTHERN LIGHTS BLVD, SUITE 600",ANCHORAGE,AK,99503,9072019774,02D0640755,REFERENCE,independent,8792,0
QUEST DIAGNOSTICS,4120 LAUREL STREET,ANCHORAGE,AK,99508,9075617245,02D0640756,REFERENCE,independent,47530,0
QUEST DIAGNOSTICS,"1405 KELLUM ST, STE 101",FAIRBANKS,AK,99701,3528445808,02D0641234,REFERENCE,independent,4342,0
KUPARUK MEDICAL CLINIC,KOC SPINE ROAD,PRUDHOE BAY,AK,99734,9076597230,02D0671921,REFERENCE,independent,1800,0
ALPINE MEDICAL CLINIC,ALP-5 PAD,PRUDHOE BAY,AK,99734,9076704100,02D0969249,REFERENCE,independent,1400,0
LIFEMED ALASKA LLC,6320 S AIRPARK PLACE,ANCHORAGE,AK,99502,9075636633,02D1090167,REFERENCE,ambulance,4568,3
"GUARDIAN FLIGHT, LLC",3474 OLD INTERNATIONAL AIRPORT ROAD,ANCHORAGE,AK,99502,8889973822,02D2028442,REFERENCE,other,1280,8
CELLNETIX PATHOLOGY ALASKA REGIONAL HOSPITAL,2801 DEBARR RD,ANCHORAGE,AK,99508,9072641173,02D2201100,REFERENCE,independent,8000,0
LABORATORY CORPORATION OF AMERICA,"2925 DEBARR RD BLDG D, STE 300",ANCHORAGE,AK,99508,9073391508,02D2223872,REFERENCE,independent,162815,0
"AIRCARE ALASKA, LLC",6260 OLD AIRPORT ROAD,FAIRBANKS,AK,99709,9076874239,02D2314627,REFERENCE,ambulance,200,2
ALASKA NATIVE MEDICAL CENTER POCT 2,4315 DIPLOMACY DRIVE,ANCHORAGE,AK,99508,9077291230,02D2322468,REFERENCE,other,0,2
MARICOPA COUNTY PUBLIC HEALTH LAB,1645 EAST ROOSEVELT STREET,PHOENIX,AZ,85006,6025066990,03D0057138,REFERENCE,other,87200,2
CAMPUS HEALTH SERVICES,1224 E LOWELL ST,TUCSON,AZ,85721,5206216513,03D0057856,REFERENCE,school_student_health,27773,2
ACCUTRACE LABORATORIES INC,2225 WEST ALICE AVENUE,PHOENIX,AZ,85021,6029430777,03D0641886,REFERENCE,independent,280435,0
PIMA COUNTY HEALTH DEPARTMENT,1493 W COMMERCE COURT,TUCSON,AZ,85745,5207247765,03D0683066,REFERENCE,other,17887,13
"CSL PLASMA, INC",1334 E BROADWAY RD STE 102,TEMPE,AZ,85282,4809686139,03D0694716,REFERENCE,other,62000,0
EAST VALLEY INTERNAL MEDICINE PC,"2081 W FRYE RD, STE 200",CHANDLER,AZ,85224,4808213821,03D0872266,REFERENCE,independent,96480,0
SAGIS,4582 N 1ST AVE STE 120,TUCSON,AZ,85718,5205798315,03D0962326,REFERENCE,independent,4000,0
ARIZONA ANDROLOGY LAB & CRYOBANK,850 N KOLB RD STE B,TUCSON,AZ,85710,5208852689,03D0991404,REFERENCE,independent,800,0
QUALITY OF LIFE INTEGRATED HEALTH CENTER,6390 E BROADWAY,TUCSON,AZ,85710,5207332250,03D1012182,REFERENCE,independent,210000,0
"VIRTUAL SCIENTIFIC, INC",20428 E VIA DEL RANCHO,QUEEN CREEK,AZ,85142,4802848854,03D1079575,REFERENCE,independent,1300,9
NORTHERN ARIZONA MEDICAL GROUP,3555 WESTERN AVE,KINGMAN,AZ,86409,9287578440,03D1097848,REFERENCE,independent,85500,0
"CYREX LABORATORIES, LLC",2602 S 24TH ST,PHOENIX,AZ,85034,6027591245,03D2006336,REFERENCE,independent,10000,0
SOUTHWEST SKIN LABORATORY PLLC,"1688 E BOSTON ST, STE 101",GILBERT,AZ,85295,4808550085,03D2046062,REFERENCE,independent,1300,0
AFFILIATED LABORATORIES,21355 N 83RD ST,SCOTTSDALE,AZ,85255,4805637507,03D2051762,REFERENCE,independent,800,0
RICHARD LEE AVERITTE JR PLLC DBA,13995 W STATLER BLVD STE 150,SURPRISE,AZ,85374,4805560446,03D2053259,REFERENCE,independent,410,0
PATHLAB INC,"4266 INDUSTRY DR, STE 1",SIERRA VISTA,AZ,85635,5204174512,03D2067119,REFERENCE,independent,6500,0
"DESERT LABORATORIES, LLC","1343 N ALMA SCHOOL RD, STE 150",CHANDLER,AZ,85224,4804447484,03D2084339,REFERENCE,independent,200000,0
"EXPERT GENETICS, LLC",3936 E SHANGRI LA RD,PHOENIX,AZ,85028,4803134553,03D2102432,REFERENCE,independent,1000,0
"ARIZONA GASTROENTEROLOGY, LTD",7622 N LA CHOLLA BLVD STE 37,TUCSON,AZ,85741,5207424139,03D2114624,REFERENCE,independent,12000,0
COPPER QUEEN COMMUNITY HOSPITAL,100 E 5TH ST,DOUGLAS,AZ,85607,5204326587,03D2124326,REFERENCE,other,140600,0
SPECIALIZED UNIVERSITY PATHOLOGISTS,"3303 S LINDSAY RD, STE 121",GILBERT,AZ,85297,4242457284,03D2137703,REFERENCE,independent,2500,0
VINCERE MOLECULAR & PATHOLOGY LAB,7469 E MONTE CRISTO AVE STE 100,SCOTTSDALE,AZ,85260,4803065390,03D2183334,REFERENCE,independent,2700,2
AMERIPATH TUCSON INC,4488 N HACIENDA DEL SOL RD,TUCSON,AZ,85718,5629910429,03D2276836,REFERENCE,independent,50000,0
"AGA PATHOLOGY LAB, TUCSON",7155 N MERCER SPRING PL,TUCSON,AZ,85718,5204009936,03D2277352,REFERENCE,independent,12000,0
AMERIPATH TUCSON INC,10714 E KINETIC DR,MESA,AZ,85212,5629910429,03D2279731,REFERENCE,independent,27000,0
SUNSCIENCE LABS INC,7890 S HARDY DR STE 104,TEMPE,AZ,85284,6572008350,03D2282539,REFERENCE,independent,4710,0
TUCSON GASTRO SPECIALISTS PATHOLOGY,3040 N SWAN RD STE C,TUCSON,AZ,85712,5203273454,03D2285621,REFERENCE,independent,4000,0
CND LIFE SCIENCES R&D LAB,9165 E DEL CAMINO DR STE 101B,SCOTTSDALE,AZ,85258,4805692900,03D2291165,REFERENCE,independent,1500,0
ARIZONA DIAGNOSTIC PATHOLOGY ASSOCIATES,3987 E PARADISE FALLS DR,TUCSON,AZ,85712,5208495334,03D2294971,REFERENCE,independent,27500,0
PATHOLOGY SERVICES LABORATORY PA,1430 WEST C STREET,RUSSELLVILLE,AR,72801,4799686781,04D0468992,REFERENCE,independent,34747,0
AR ANATOMIC PATHOLOGY LABORATORY/DOCTORS',4800 EAST JOHNSON,JONESBORO,AR,72401,8709303518,04D0892601,REFERENCE,independent,10201,0
"MICRO-DIAGNOSTIC LABORATORIES, INC",1200 SALEM ROAD,BENTON,AR,72019,5013166337,04D0913430,REFERENCE,independent,62442,0
LABCORP OF AMERICA,4208 NORTH RODNEY PARHAM,LITTLE ROCK,AR,72212,5012230779,04D0928951,REFERENCE,independent,20412,0
ARKANSAS ANATOMIC PATHOLOGY LABORATORY AND,225 EAST WASHINGTON AVENUE,JONESBORO,AR,72401,8709303518,04D1018945,REFERENCE,independent,22463,0
NORTHWEST ARKANSAS PATHOLOGY AT MERCY MED CTR,2710 RIFE MEDICAL LANE,ROGERS,AR,72758,4794420144,04D1051971,REFERENCE,independent,275,0
NWA PATHOLOGY AT WRMC FS ROOM,3215 NORTH NORTH HILLS BLVD,FAYETTEVILLE,AR,72703,4794420144,04D1051973,REFERENCE,independent,650,0
UNITY HEALTH WHITE COUNTY ONCOLOGY,415 RODGERS DRIVE,SEARCY,AR,72143,5012783349,04D2025650,REFERENCE,other,264045,0
PHYSICIANS LABORATORIES OF AMERICA LLC,10 CORPORATE HILL DRIVE SUITE 180,LITTLE ROCK,AR,72205,8772025227,04D2042678,REFERENCE,independent,7000,0
BAXTER HEALTH PAIN CLINIC,525 BURNETT DRIVE,MOUNTAIN HOME,AR,72653,8705085933,04D2086422,REFERENCE,other,294000,0
AEL - CONWAY,2425 DAVE WARD DRIVE,CONWAY,AR,72034,5013293824,04D2115207,REFERENCE,independent,17315,0
CHI ST VINCENT MEDICAL CENTER,300 WERNER ST,HOT SPRINGS,AR,71913,5016222560,04D2121560,REFERENCE,independent,10848,0
MERCY SPRINGDALE HOD,4600 MERCY LANE,SPRINGDALE,AR,72762,4793382845,04D2170189,REFERENCE,other,139292,0
"NAMIDA LAB, INC","1905 E MISSION BLVD, SUITE 6",FAYETTEVILLE,AR,72703,4793342828,04D2182040,REFERENCE,independent,5000,0
ARKANSAS ANATOMIC PATHOLOGY LABORATORY,1710 HARRISON ST,BATESVILLE,AR,72501,8709303518,04D2209627,REFERENCE,independent,4083,0
QUEST DIAGNOSTICS - ROGERS RRL,"2708 S RIFE MEDICAL LANE, SUITE T30",ROGERS,AR,72758,4793531705,04D2225444,REFERENCE,independent,79000,0
QUEST DIAGNOSTICS - FORT SMITH RRL,"6801 ROGERS AVE, 1ST FLOOR LAB",FORT SMITH,AR,72903,4793538396,04D2226039,REFERENCE,independent,100000,0
"UROLOGY GROUP PC, THE",944 STATE HIGHWAY 77,MARION,AR,72364,9017678158,04D2270323,REFERENCE,independent,50000,0
UAMS HEALTH UROLOGY CLINIC,10915 RODNEY PARHAM ROAD SUITE E,LITTLE ROCK,AR,72212,5015266489,04D2277599,REFERENCE,other,1350,3
HERMES LABORATORIES,"2 LILE COURT, SUITE 102B",LITTLE ROCK,AR,72205,5019446689,04D2296094,REFERENCE,independent,196800,0
PRIVILEGE DX MEDICAL LABORATORIES INC,10133 RIVERSIDE DR,TOLUCA LAKE,CA,91602,7472031614,05D0543719,REFERENCE,independent,571447,0
PROTZEL PATHOLOGY LABORATORY,"9735 WILSHIRE BLVD, STE 241",BEVERLY HILLS,CA,90212,3108580874,05D0547058,REFERENCE,independent,2029,0
CONEJO DERMATOLOGY,"55 ROLLING OAKS DR, STE 200",THOUSAND OAKS,CA,91361,8054977529,05D0559414,REFERENCE,independent,6564,0
SUN CLINICAL LABORATORIES,"9349 TELSTAR AVE, STE A",EL MONTE,CA,91731,6262342355,05D0563772,REFERENCE,independent,8795852,0
WEST DERMATOLOGY - MISSION VALLEY,9095 RIO SAN DIEGO DR SUITE 300,SAN DIEGO,CA,92108,6192989809,05D0569421,REFERENCE,independent,210,0
LABORATORY CORPORATION OF AMERICA,100 N TUSTIN AVE,TUSTIN,CA,92780,7142855918,05D0578685,REFERENCE,independent,267841,0
"ADVANCED BIOMEDICAL, INC",3089 S HARBOR BLVD,SANTA ANA,CA,92704,7149002900,05D0580198,REFERENCE,independent,6030,0
NAPA-SOLANO-YOLO-MARIN,"2201 COURAGE DR, MS 9-200",FAIRFIELD,CA,94533,7077844410,05D0601176,REFERENCE,public_health_lab,8529,0
"EQUALTOX, LLC","550 N GOLDEN CIRCLE,  STE B",SANTA ANA,CA,92705,7147605804,05D0602385,REFERENCE,independent,83930,0
"REPRODUCTIVE TECHNOLOGIES, INC/ THE SPERM","2115 MILVIA ST, 2ND FLR",BERKELEY,CA,94704,5108411858,05D0602416,REFERENCE,independent,400,0
PLANNED PARENTHOOD MAR MONTE,1691 THE ALAMEDA,SAN JOSE,CA,95126,4087953600,05D0608282,REFERENCE,other,240000,0
YOSEMITE PATHOLOGY MEDICAL GROUP INC,"7750 COLLEGE TOWN DR, STE 102",SACRAMENTO,CA,95826,2095771200,05D0615570,REFERENCE,independent,9966,0
BUTTE COUNTY HEALTH DEPT LABORATORY,695 OLEANDER AVE,CHICO,CA,95926,5308912747,05D0617090,REFERENCE,public_health_lab,3756,0
MODOC MEDICAL CENTER,1111 N NAGLE ST,ALTURAS,CA,96101,5307088801,05D0618592,REFERENCE,other,174899,0
PSYCHEMEDICS CORPORATION,5832 UPLANDER WAY,CULVER CITY,CA,90230,3102167776,05D0642561,REFERENCE,independent,50,0
FOUNDATION LABORATORY,1716 W HOLT AVE,POMONA,CA,91768,9096239301,05D0642889,REFERENCE,independent,11631953,0
ORANGE COUNTY PUBLIC HEALTH,"8300 MARINE WAY,  STE 300",IRVINE,CA,92618,7148348385,05D0643378,REFERENCE,public_health_lab,149689,0
KERN COUNTY PUBLIC HEALTH LABORATORY,"1800 MT VERNON AVE, 3RD FL",BAKERSFIELD,CA,93306,6618680505,05D0643486,REFERENCE,public_health_lab,23381,0
MONTEREY COUNTY PUBLIC HEALTH LABORATORY,1270 NATIVDAD RD,SALINAS,CA,93906,8317554636,05D0643589,REFERENCE,public_health_lab,7291,0
DR JACK S REMINGTON LAB,"795 EL CAMINO REAL, AMES BLDG",PALO ALTO,CA,94301,6508534828,05D0643684,REFERENCE,independent,8891,0
VIRAL & RICKETTSIAL DISEASE LABORATORY,850 MARINA BAY PKWY,RICHMOND,CA,94804,5103078585,05D0643850,REFERENCE,public_health_lab,24766,0
IGENEX INC,556 GILBRALTAR DR,MILPITAS,CA,95035,6504241191,05D0643914,REFERENCE,independent,329504,0
SAN JOAQUIN COUNTY PUBLIC HEALTH LAB,1601 E HAZELTON AVE,STOCKTON,CA,95205,2094683460,05D0643989,REFERENCE,public_health_lab,24078,0
YOSEMITE PATHOLOGY MEDICAL GROUP,"3172 COLLINS DR, STE B",MERCED,CA,95348,2095771200,05D0644024,REFERENCE,independent,14664,0
UNILAB CORP DBA QUEST DIAGNOSTICS,857 W CHILDS ROAD,MERCED,CA,95341,2093855632,05D0644027,REFERENCE,independent,14219,0
SONOMA COUNTY PUBLIC HEALTH LABORATORY,3313 CHANATE RD,SANTA ROSA,CA,95404,7075654711,05D0644064,REFERENCE,public_health_lab,1579,3
UCD COCCIDIOIDOMYCOSIS SEROLOGY LAB,ROOM 3137 TUPPER HALL,DAVIS,CA,95616,5307521757,05D0644125,REFERENCE,other,85000,0
BERNARDO DERMATOLOGY MEDICAL GROUP,"15525 POMERADO RD, STE A2",POWAY,CA,92064,8584513311,05D0664519,REFERENCE,independent,3277,0
UNILAB CORP DBA QUEST DIAGNOSTICS,"7060 N RECREATION AVE, STE 106",FRESNO,CA,93720,5592972479,05D0664641,REFERENCE,independent,159394,0
TULARE COUNTY HEALTH DEPT LABORATORY,1062 SOUTH K ST,TULARE,CA,93274,5596855750,05D0667647,REFERENCE,public_health_lab,4697,0
VENTURA COUNTY HEALTH DEPARTMENT LAB,"2240 E GONZALES RD, STE 160",OXNARD,CA,93036,8059815131,05D0668137,REFERENCE,public_health_lab,81294,0
QUEST DIAGNOSTICS,"2999 REGENT ST, STE 101",BERKELEY,CA,94705,5102297637,05D0670381,REFERENCE,independent,65409,0
SANTA BARBARA COUNTY PUBLIC HEALTH LAB,"315 CAMINO DEL REMEDIO, RM 262",SANTA BARBARA,CA,93110,8056815255,05D0683431,REFERENCE,public_health_lab,8043,0
LONG BEACH DEPARTMENT OF HEALTH,"2525 GRAND AVE, STE 260",LONG BEACH,CA,90815,5625704080,05D0688088,REFERENCE,public_health_lab,2734,0
INTERNATIONAL MEDICAL LABORATORY,15 CORPORATE PARK,IRVINE,CA,92606,7149722222,05D0692370,REFERENCE,independent,283400,0
COUNTY OF SAN LUIS OBISPO,2191 JOHNSON AVE,SAN LUIS OBISPO,CA,93401,8057815507,05D0695770,REFERENCE,public_health_lab,22240,0
"UNILAB CORPORATION, DBA QUEST DIAGNOSTICS","2291 W MARCH LN, STE 145F",STOCKTON,CA,95207,2099515833,05D0700053,REFERENCE,independent,77735,0
MADERA COUNTY PUBLIC HEALTH LABORATORY,1604 SUNRISE AVE,MADERA,CA,93638,5596757893,05D0711439,REFERENCE,public_health_lab,904,0
ASSOCIATED PATHOLOGY MEDICAL GROUP INC,105 A COOPER CT,LOS GATOS,CA,95032,4083995050,05D0712326,REFERENCE,independent,152260,0
"CORAZON C MEDINA, MD INC","1751 W ROMNEYA DR, STE H",ANAHEIM,CA,92801,7145632114,05D0856340,REFERENCE,independent,11500,0
SAN MATEO COUNTY PUBLIC HEALTH LAB,225 37TH AVE,SAN MATEO,CA,94403,5106196881,05D0857622,REFERENCE,public_health_lab,64940,0
CALPATH MEDICAL ASSOCIATES,"2155 S BASCOM AVE, STE 120",CAMPBELL,CA,95008,4088665227,05D0858234,REFERENCE,independent,22000,0
GENETIC DISEASE LABORATORY,850 MARINA BAY PKWY STE G265,RICHMOND,CA,94804,5102311704,05D0862216,REFERENCE,public_health_lab,1280407,0
"GENENTOX LABORATORIES, LLC","2001 E FIRST ST, STE 109",SANTA ANA,CA,92705,8336682522,05D0871568,REFERENCE,independent,77698,0
"LABORATORY MEDICINE CONSULTANTS, INC",240 S LA CIENEGA BLVD STE 101,BEVERLY HILLS,CA,90211,3102732124,05D0876618,REFERENCE,independent,714591,0
CA DPH ENVIRONMENTAL HEALTH LABORATORY,850 MARINA BAY PKWY STE G365,RICHMOND,CA,94804,5106202801,05D0882397,REFERENCE,public_health_lab,1000,0
FERTILITY CENTER OF CALIFORNIA,"6699 ALVARADO RD, STE 2208",SAN DIEGO,CA,92120,6192650102,05D0883366,REFERENCE,independent,1000,0
FERTILITY CENTER OF CALIFORNIA,"12791 NEWPORT AVE, STE 206",TUSTIN,CA,92780,7147303060,05D0883369,REFERENCE,independent,500,0
SHARP REES-STEALY CLINICS,5525 GROSSMONT CENTER DR,LA MESA,CA,91942,8586168031,05D0890455,REFERENCE,independent,406687,0
BIO PATH MEDICAL GROUP INC,17100 EUCLID ST,FOUNTAIN VALLEY,CA,92708,7144331330,05D0914742,REFERENCE,independent,11,0
AW CYTOHISTOLOGY LABORATORY,1700 C ST,BAKERSFIELD,CA,93301,6613252640,05D0916538,REFERENCE,independent,9708,0
HUNTINGTON REPRODUCTIVE CENTER,20360 SW BIRCH ST,NEWPORT BEACH,CA,92660,9492875600,05D0921495,REFERENCE,independent,8600,0
"CORE ANALYTICS LABORATORY, INC",14735 CALIFA ST,VAN NUYS,CA,91411,8189062614,05D0928967,REFERENCE,independent,5763531,0
PASTEUR INC DBA SINAI LABS,6700 VALJEAN AVE,VAN NUYS,CA,91406,3108736380,05D0930353,REFERENCE,independent,547899,0
"PARAKRAMA T CHANDRASOMA, MD A MED CORP",405 LINDA VISTA AVE,PASADENA,CA,91105,6263901420,05D0939440,REFERENCE,independent,400,0
OUTPATIENT BIOPSY CENTER,10632 DAINES DR,TEMPLE CITY,CA,91780,6267032154,05D0943625,REFERENCE,independent,551,0
21ST CENTURY DIAGNOSTIC LABORATORY,121 N VICTORY BLVD,BURBANK,CA,91502,3236609480,05D0956168,REFERENCE,independent,562371,0
SHARP REES-STEALY CLINICS LABORATORY-SAN DIEGO,2929 HEALTH CENTER DR,SAN DIEGO,CA,92123,8586168038,05D0966538,REFERENCE,independent,7785,0
SKIN CARE AND LASER PHYSICIANS OF BEVERLY HILL,"9201 W SUNSET BLVD, STE 602",WEST HOLLYWOOD,CA,90069,3102460495,05D0968426,REFERENCE,independent,184,0
"HRC FERTLITY MANAGEMENT, LLC","1241 E HILLSDALE BLVD, STE 100",FOSTER CITY,CA,94404,6503781000,05D0969849,REFERENCE,independent,1700,0
BIO-PATH MEDICAL GROUP INC,17150 NEWHOPE ST STE 117,FOUNTAIN VALLEY,CA,92708,7144331330,05D0974660,REFERENCE,independent,18739,0
SHARP REES-STEALY CLINICS,1400 E PALOMAR ST,CHULA VISTA,CA,91913,8586168031,05D0986250,REFERENCE,independent,395713,0
DAVID J BARNETTE JR MD,6649 CURLEW TERRACE,CARLSBAD,CA,92011,7604921140,05D0998312,REFERENCE,independent,12000,0
"ALPHA CLINICAL LABORATORY, INC",3021 N SAN FERNANDO BLVD STE C,BURBANK,CA,91504,8187290927,05D0999149,REFERENCE,independent,65160,0
PATHOLOGY ARTS INC,"549 QUEENSLAND CIRCLE, STE 101",CORONA,CA,92879,9512700605,05D1000595,REFERENCE,independent,6000,0
DIGESTIVE CARE LABORATORY,1000 LAUREL ST,SAN CARLOS,CA,94070,6505968118,05D1000932,REFERENCE,independent,2825,0
MICHELLE M ALGARIN MD INC,23961 CALLE DE LA MAGDALENA STE 520,LAGUNA HILLS,CA,92653,9498553376,05D1005582,REFERENCE,independent,1381,0
"JULIE G DUQUETTE, MD, A MEDICAL CORPORATION",2043 WESTCLIFF DR STE 302,NEWPORT BEACH,CA,92660,9495153462,05D1010850,REFERENCE,independent,7000,0
PENINSULA PATHOLOGISTS,383 E GRAND AVE STE A,SOUTH SAN FRANCISCO,CA,94080,6506162951,05D1029487,REFERENCE,independent,101184,0
"KIRSHMAN DIAGNOSTICS, INC",14 POSADA,IRVINE,CA,92614,9492782630,05D1037151,REFERENCE,independent,437,0
"PATHCARE DIAGNOSTICS, INC","1810 FULLERTON AVE, STE 102",CORONA,CA,92881,9518088863,05D1037342,REFERENCE,independent,1613,0
LIFELINE MEDICAL LABORATORY INC,10509 BURBANK BLVD,N HOLLYWOOD,CA,91601,8185794220,05D1039663,REFERENCE,independent,38087,0
SOUTH COUNTY KIDNEY & ENDOCRINE CENTER,"23141 MOULTON PKWY, STE 102",LAGUNA HILLS,CA,92653,9499169100,05D1040918,REFERENCE,independent,687000,0
PLANNED PARENTHOOD,"303 W LINCOLN AVE, STE 105",ANAHEIM,CA,92805,7146336373,05D1042218,REFERENCE,independent,443067,0
"EAST SIDE PATHOLOGY ASSOCIATES MED GRP, INC","1600 POTRERO GRANDE DR, STE 1",ROSEMEAD,CA,91770,6264584750,05D1044051,REFERENCE,independent,126,0
PLANNED PARENTHOOD LOS ANGELES,"2690 PACIFIC AVE, STE 340",LONG BEACH,CA,90806,2132843200,05D1049784,REFERENCE,public_health_lab,251281,0
"UNIVERSITY OF CALIFORNIA IRVINE,","850 HEALTH SCIENCES RD, 2ND FL",IRVINE,CA,92697,7144565556,05D1052619,REFERENCE,independent,2185,0
PRECISION ASPIRATION AND BIOPSY,1125 S BEVERLY DR STE 602,LOS ANGELES,CA,90035,3107026701,05D1064899,REFERENCE,independent,880,0
"PHAMATECH, INC",15175 INNOVATION DR,SAN DIEGO,CA,92128,8586435555,05D1078844,REFERENCE,independent,30350,0
COMPREHENSIVE DERMATOLOGY GROUP,"781 GARDENVIEW COURT, STE 201",ENCINITAS,CA,92024,7606343376,05D1079755,REFERENCE,independent,850,0
BHI DIAGNOSTICS,"8920 WILSHIRE BLVD, ST 310",BEVERLY HILLS,CA,90211,3109189920,05D1084596,REFERENCE,independent,155550,0
