name,city,state,zip,clia,domain,error
IREPERTOIRE MOLECULAR LABORATORY,HUNTSVILLE,AL,35806,01D2188667,irepertoire.com,
JCDH WESTERN HEALTH CENTER DISEASE CONTROL,MIDFIELD,AL,35228,01D2265958,jcdh.org,
ECLIPSE PATHOLOGY LLC,MADISON,AL,35758,01D2286108,labprospects.com,
BIOLIFE PLASMA SERVICES L P,MOBILE,AL,36608,01D2177196,biolifeplasma.com,
USA HEALTH FREESTANDING EMERGENCY DEPARTMENT,MOBILE,AL,36608,01D2229845,usahealthsystem.com,
MADISON CORE LABORATORIES,HUNTSVILLE,AL,35805,01D2116823,madisoncorelabs.com,
SOUTHEAST CLINICAL LABORATORIES - WALKER MEDICAL,JASPER,AL,35501,01D2327017,walker-md.com,
CSL PLASMA INC,MONTGOMERY,AL,36117,01D2065408,cslplasma.com,
"CERFLUX, INC",BIRMINGHAM,AL,35203,01D2247841,cerflux.com,
LABORATORY CORPORATION OF AMERICA HOLDINGS,ANNISTON,AL,36205,01D2170323,labcorp.com,
LABORATORY CORPORATION OF AMERICA,ANCHORAGE,AK,99503,02D0640755,labcorp.com,
QUEST DIAGNOSTICS,ANCHORAGE,AK,99508,02D0640756,questdiagnostics.com,
"MEDESSIA HEALTH, LLC",OPELIKA,AL,36801,01D2340785,medessiahealth.com,
LABORATORY CORPORATION OF AMERICA,ANCHORAGE,AK,99508,02D2223872,labcorp.com,
ALPINE MEDICAL CLINIC,PRUDHOE BAY,AK,99734,02D0969249,alpinemedicalgroup.com,
CELLNETIX PATHOLOGY ALASKA REGIONAL HOSPITAL,ANCHORAGE,AK,99508,02D2201100,cellnetix.com,
KUPARUK MEDICAL CLINIC,PRUDHOE BAY,AK,99734,02D0671921,labprospects.com,
ACCUTRACE LABORATORIES INC,PHOENIX,AZ,85021,03D0641886,loc8nearme.com,
"AIRCARE ALASKA, LLC",FAIRBANKS,AK,99709,02D2314627,aircarealaska.com,
"CSL PLASMA, INC",TEMPE,AZ,85282,03D0694716,cslplasma.com,
QUEST DIAGNOSTICS,FAIRBANKS,AK,99701,02D0641234,locations.questdiagnostics.com,
LIFEMED ALASKA LLC,ANCHORAGE,AK,99502,02D1090167,lifemedalaska.com,
PIMA COUNTY HEALTH DEPARTMENT,TUCSON,AZ,85745,03D0683066,pima.gov,
"GUARDIAN FLIGHT, LLC",ANCHORAGE,AK,99502,02D2028442,guardianflight.com,
CAMPUS HEALTH SERVICES,TUCSON,AZ,85721,03D0057856,health.arizona.edu,
SAGIS,TUCSON,AZ,85718,03D0962326,sagisdx.com,
ARIZONA ANDROLOGY LAB & CRYOBANK,TUCSON,AZ,85710,03D0991404,arizonaandrology.com,
QUALITY OF LIFE INTEGRATED HEALTH CENTER,TUCSON,AZ,85710,03D1012182,qmedcenter.com,
MARICOPA COUNTY PUBLIC HEALTH LAB,PHOENIX,AZ,85006,03D0057138,maricopa.gov,
AFFILIATED LABORATORIES,SCOTTSDALE,AZ,85255,03D2051762,affderm.com,
SOUTHWEST SKIN LABORATORY PLLC,GILBERT,AZ,85295,03D2046062,swskin.net,
EAST VALLEY INTERNAL MEDICINE PC,CHANDLER,AZ,85224,03D0872266,evimaz.com,
RICHARD LEE AVERITTE JR PLLC DBA,SURPRISE,AZ,85374,03D2053259,affderm.com,
ALASKA NATIVE MEDICAL CENTER POCT 2,ANCHORAGE,AK,99508,02D2322468,anmc.org,
PATHLAB INC,SIERRA VISTA,AZ,85635,03D2067119,ehealthscores.com,
NORTHERN ARIZONA MEDICAL GROUP,KINGMAN,AZ,86409,03D1097848,namg.us,
"EXPERT GENETICS, LLC",PHOENIX,AZ,85028,03D2102432,everydayhealth.care,
"CYREX LABORATORIES, LLC",PHOENIX,AZ,85034,03D2006336,cyrexlabs.com,
VINCERE MOLECULAR & PATHOLOGY LAB,SCOTTSDALE,AZ,85260,03D2183334,vincerecancer.com,
"ARIZONA GASTROENTEROLOGY, LTD",TUCSON,AZ,85741,03D2114624,azgastroenterology.com,
SPECIALIZED UNIVERSITY PATHOLOGISTS,GILBERT,AZ,85297,03D2137703,pathology.arizona.edu,
"AGA PATHOLOGY LAB, TUCSON",TUCSON,AZ,85718,03D2277352,azgastrohealth.com,
"VIRTUAL SCIENTIFIC, INC",QUEEN CREEK,AZ,85142,03D1079575,virtualscientific.net,
AMERIPATH TUCSON INC,TUCSON,AZ,85718,03D2276836,ameripath.com,
ARIZONA DIAGNOSTIC PATHOLOGY ASSOCIATES,TUCSON,AZ,85712,03D2294971,adpalab.com,
"DESERT LABORATORIES, LLC",CHANDLER,AZ,85224,03D2084339,desertlaboratories.com,
AMERIPATH TUCSON INC,MESA,AZ,85212,03D2279731,ameripath.com,
TUCSON GASTRO SPECIALISTS PATHOLOGY,TUCSON,AZ,85712,03D2285621,tucsongastro.com,
ARKANSAS ANATOMIC PATHOLOGY LABORATORY AND,JONESBORO,AR,72401,04D1018945,dapsonline.com,
PHYSICIANS LABORATORIES OF AMERICA LLC,LITTLE ROCK,AR,72205,04D2042678,plallc.com,
COPPER QUEEN COMMUNITY HOSPITAL,DOUGLAS,AZ,85607,03D2124326,cqch.org,
CND LIFE SCIENCES R&D LAB,SCOTTSDALE,AZ,85258,03D2291165,cndlifesciences.com,
LABCORP OF AMERICA,LITTLE ROCK,AR,72212,04D0928951,locations.labcorp.com,
PATHOLOGY SERVICES LABORATORY PA,RUSSELLVILLE,AR,72801,04D0468992,pathologyserviceslab.com,
NORTHWEST ARKANSAS PATHOLOGY AT MERCY MED CTR,ROGERS,AR,72758,04D1051971,mercy.net,
AR ANATOMIC PATHOLOGY LABORATORY/DOCTORS',JONESBORO,AR,72401,04D0892601,dapsonline.com,
AEL - CONWAY,CONWAY,AR,72034,04D2115207,ael.com,
SUNSCIENCE LABS INC,TEMPE,AZ,85284,03D2282539,sunsciencelab.com,
"MICRO-DIAGNOSTIC LABORATORIES, INC",BENTON,AR,72019,04D0913430,citysquares.com,
UNITY HEALTH WHITE COUNTY ONCOLOGY,SEARCY,AR,72143,04D2025650,unity-health.org,
NWA PATHOLOGY AT WRMC FS ROOM,FAYETTEVILLE,AR,72703,04D1051973,nwapathology.com,
QUEST DIAGNOSTICS - ROGERS RRL,ROGERS,AR,72758,04D2225444,locations.questdiagnostics.com,
"NAMIDA LAB, INC",FAYETTEVILLE,AR,72703,04D2182040,namidalab.com,
MERCY SPRINGDALE HOD,SPRINGDALE,AR,72762,04D2170189,mercy.net,
CHI ST VINCENT MEDICAL CENTER,HOT SPRINGS,AR,71913,04D2121560,chistvincent.com,
BAXTER HEALTH PAIN CLINIC,MOUNTAIN HOME,AR,72653,04D2086422,baxterhealth.org,
PROTZEL PATHOLOGY LABORATORY,BEVERLY HILLS,CA,90212,05D0547058,ibegin.com,
PRIVILEGE DX MEDICAL LABORATORIES INC,TOLUCA LAKE,CA,91602,05D0543719,whereorg.com,
UAMS HEALTH UROLOGY CLINIC,LITTLE ROCK,AR,72212,04D2277599,uamshealth.com,
"UROLOGY GROUP PC, THE",MARION,AR,72364,04D2270323,carecredit.com,
QUEST DIAGNOSTICS - FORT SMITH RRL,FORT SMITH,AR,72903,04D2226039,locations.questdiagnostics.com,
HERMES LABORATORIES,LITTLE ROCK,AR,72205,04D2296094,hermes-laboratories.com,
CONEJO DERMATOLOGY,THOUSAND OAKS,CA,91361,05D0559414,conejodermatology.com,
ARKANSAS ANATOMIC PATHOLOGY LABORATORY,BATESVILLE,AR,72501,04D2209627,allpractices.com,
"REPRODUCTIVE TECHNOLOGIES, INC/ THE SPERM",BERKELEY,CA,94704,05D0602416,thespermbankofca.org,
SUN CLINICAL LABORATORIES,EL MONTE,CA,91731,05D0563772,sunclinicallaboratories.com,
"EQUALTOX, LLC",SANTA ANA,CA,92705,05D0602385,equaltox.com,
WEST DERMATOLOGY - MISSION VALLEY,SAN DIEGO,CA,92108,05D0569421,westdermatology.com,
LABORATORY CORPORATION OF AMERICA,TUSTIN,CA,92780,05D0578685,locations.labcorp.com,
NAPA-SOLANO-YOLO-MARIN,FAIRFIELD,CA,94533,05D0601176,solanocounty.gov,
PLANNED PARENTHOOD MAR MONTE,SAN JOSE,CA,95126,05D0608282,plannedparenthood.org,
PSYCHEMEDICS CORPORATION,CULVER CITY,CA,90230,05D0642561,psychemedics.com,
YOSEMITE PATHOLOGY MEDICAL GROUP INC,SACRAMENTO,CA,95826,05D0615570,yosemitepathology.com,
"ADVANCED BIOMEDICAL, INC",SANTA ANA,CA,92704,05D0580198,dayofdifference.org.au,
MODOC MEDICAL CENTER,ALTURAS,CA,96101,05D0618592,modocmedicalcenter.org,
BUTTE COUNTY HEALTH DEPT LABORATORY,CHICO,CA,95926,05D0617090,buttecounty.ca.gov,
KERN COUNTY PUBLIC HEALTH LABORATORY,BAKERSFIELD,CA,93306,05D0643486,kernpublichealth.com,
ORANGE COUNTY PUBLIC HEALTH,IRVINE,CA,92618,05D0643378,ochealthinfo.com,
MONTEREY COUNTY PUBLIC HEALTH LABORATORY,SALINAS,CA,93906,05D0643589,countyofmonterey.gov,
DR JACK S REMINGTON LAB,PALO ALTO,CA,94301,05D0643684,pamf.org,
FOUNDATION LABORATORY,POMONA,CA,91768,05D0642889,foundationlaboratory.com,
TULARE COUNTY HEALTH DEPT LABORATORY,TULARE,CA,93274,05D0667647,tchhsa.org,
SAN JOAQUIN COUNTY PUBLIC HEALTH LAB,STOCKTON,CA,95205,05D0643989,sjcphs.org,
VIRAL & RICKETTSIAL DISEASE LABORATORY,RICHMOND,CA,94804,05D0643850,cdph.ca.gov,
UNILAB CORP DBA QUEST DIAGNOSTICS,MERCED,CA,95341,05D0644027,locations.questdiagnostics.com,
UCD COCCIDIOIDOMYCOSIS SEROLOGY LAB,DAVIS,CA,95616,05D0644125,health.ucdavis.edu,
SONOMA COUNTY PUBLIC HEALTH LABORATORY,SANTA ROSA,CA,95404,05D0644064,sonomacounty.gov,
UNILAB CORP DBA QUEST DIAGNOSTICS,FRESNO,CA,93720,05D0664641,questdiagnostics.com,
VENTURA COUNTY HEALTH DEPARTMENT LAB,OXNARD,CA,93036,05D0668137,hca.venturacounty.gov,
LONG BEACH DEPARTMENT OF HEALTH,LONG BEACH,CA,90815,05D0688088,longbeach.gov,
INTERNATIONAL MEDICAL LABORATORY,IRVINE,CA,92606,05D0692370,internationalmedicallab.com,
QUEST DIAGNOSTICS,BERKELEY,CA,94705,05D0670381,locations.questdiagnostics.com,
IGENEX INC,MILPITAS,CA,95035,05D0643914,igenex.com,
BERNARDO DERMATOLOGY MEDICAL GROUP,POWAY,CA,92064,05D0664519,bernardoderm.com,
YOSEMITE PATHOLOGY MEDICAL GROUP,MERCED,CA,95348,05D0644024,yosemitepathology.com,
MADERA COUNTY PUBLIC HEALTH LABORATORY,MADERA,CA,93638,05D0711439,maderacounty.com,
"UNILAB CORPORATION, DBA QUEST DIAGNOSTICS",STOCKTON,CA,95207,05D0700053,locations.questdiagnostics.com,
"CORAZON C MEDINA, MD INC",ANAHEIM,CA,92801,05D0856340,npiviewer.com,
SANTA BARBARA COUNTY PUBLIC HEALTH LAB,SANTA BARBARA,CA,93110,05D0683431,countyofsb.org,
SAN MATEO COUNTY PUBLIC HEALTH LAB,SAN MATEO,CA,94403,05D0857622,smchealth.org,
GENETIC DISEASE LABORATORY,RICHMOND,CA,94804,05D0862216,cdph.ca.gov,
CALPATH MEDICAL ASSOCIATES,CAMPBELL,CA,95008,05D0858234,calpath.com,
"LABORATORY MEDICINE CONSULTANTS, INC",BEVERLY HILLS,CA,90211,05D0876618,labmedinc.com,
FERTILITY CENTER OF CALIFORNIA,SAN DIEGO,CA,92120,05D0883366,spermbankcalifornia.com,
AW CYTOHISTOLOGY LABORATORY,BAKERSFIELD,CA,93301,05D0916538,vitadox.com,
"GENENTOX LABORATORIES, LLC",SANTA ANA,CA,92705,05D0871568,novadxlabs.com,
SHARP REES-STEALY CLINICS,LA MESA,CA,91942,05D0890455,sharp.com,
FERTILITY CENTER OF CALIFORNIA,TUSTIN,CA,92780,05D0883369,tustinfertilityctr.com,
COUNTY OF SAN LUIS OBISPO,SAN LUIS OBISPO,CA,93401,05D0695770,slocounty.ca.gov,
CA DPH ENVIRONMENTAL HEALTH LABORATORY,RICHMOND,CA,94804,05D0882397,cdph.ca.gov,
HUNTINGTON REPRODUCTIVE CENTER,NEWPORT BEACH,CA,92660,05D0921495,psjhmedgroups.org,
BIO PATH MEDICAL GROUP INC,FOUNTAIN VALLEY,CA,92708,05D0914742,bio-path.com,
OUTPATIENT BIOPSY CENTER,TEMPLE CITY,CA,91780,05D0943625,biopsycenter.org,
PASTEUR INC DBA SINAI LABS,VAN NUYS,CA,91406,05D0930353,sinailabs.com,
ASSOCIATED PATHOLOGY MEDICAL GROUP INC,LOS GATOS,CA,95032,05D0712326,apmglab.com,
BIO-PATH MEDICAL GROUP INC,FOUNTAIN VALLEY,CA,92708,05D0974660,bio-path.com,
SHARP REES-STEALY CLINICS,CHULA VISTA,CA,91913,05D0986250,sharp.com,
DAVID J BARNETTE JR MD,CARLSBAD,CA,92011,05D0998312,scripps.org,
SKIN CARE AND LASER PHYSICIANS OF BEVERLY HILL,WEST HOLLYWOOD,CA,90069,05D0968426,skincareandlaser.com,
"CORE ANALYTICS LABORATORY, INC",VAN NUYS,CA,91411,05D0928967,corelabandxray.com,
"ALPHA CLINICAL LABORATORY, INC",BURBANK,CA,91504,05D0999149,alphaclinicallab.com,
21ST CENTURY DIAGNOSTIC LABORATORY,BURBANK,CA,91502,05D0956168,solvhealth.com,
"PARAKRAMA T CHANDRASOMA, MD A MED CORP",PASADENA,CA,91105,05D0939440,opengovus.com,
"PATHCARE DIAGNOSTICS, INC",CORONA,CA,92881,05D1037342,pathcarefna.com,
SHARP REES-STEALY CLINICS LABORATORY-SAN DIEGO,SAN DIEGO,CA,92123,05D0966538,sharp.com,
"HRC FERTLITY MANAGEMENT, LLC",FOSTER CITY,CA,94404,05D0969849,havingbabies.com,
PENINSULA PATHOLOGISTS,SOUTH SAN FRANCISCO,CA,94080,05D1029487,peninsulapathologists.com,
"KIRSHMAN DIAGNOSTICS, INC",IRVINE,CA,92614,05D1037151,cleat.ai,
"JULIE G DUQUETTE, MD, A MEDICAL CORPORATION",NEWPORT BEACH,CA,92660,05D1010850,nextmedonline.com,
MICHELLE M ALGARIN MD INC,LAGUNA HILLS,CA,92653,05D1005582,lagunawoodsderm.com,
DIGESTIVE CARE LABORATORY,SAN CARLOS,CA,94070,05D1000932,digestivecarecenter.com,
PATHOLOGY ARTS INC,CORONA,CA,92879,05D1000595,pathologyarts.com,
COMPREHENSIVE DERMATOLOGY GROUP,ENCINITAS,CA,92024,05D1079755,comprehensivederm.com,
LIFELINE MEDICAL LABORATORY INC,N HOLLYWOOD,CA,91601,05D1039663,vitadox.com,
BHI DIAGNOSTICS,BEVERLY HILLS,CA,90211,05D1084596,dnatestingcenters.com,
SOUTH COUNTY KIDNEY & ENDOCRINE CENTER,LAGUNA HILLS,CA,92653,05D1040918,scke.org,
PLANNED PARENTHOOD,ANAHEIM,CA,92805,05D1042218,plannedparenthood.org,
CENTER FOR RHEUMATOLOGY,LOS ANGELES,CA,90048,05D1086289,centerforrheumatology.com,
"PHAMATECH, INC",SAN DIEGO,CA,92128,05D1078844,phamatech.com,
PLANNED PARENTHOOD LOS ANGELES,LONG BEACH,CA,90806,05D1049784,plannedparenthood.org,
"UNIVERSITY OF CALIFORNIA IRVINE,",IRVINE,CA,92697,05D1052619,uci.edu,
"EAST SIDE PATHOLOGY ASSOCIATES MED GRP, INC",ROSEMEAD,CA,91770,05D1044051,npiindex.com,
PRECISION ASPIRATION AND BIOPSY,LOS ANGELES,CA,90035,05D1064899,drnadelman.com,
LABORATORY CORPORATION OF AMERICA,WALNUT CREEK,CA,94598,05D2003055,locations.labcorp.com,
IRVINE PATHOLOGY MEDICAL GROUP INC,IRVINE,CA,92618,05D1090909,irvinepath.com,
OMNIPATHOLOGY SOLUTIONS,PASADENA,CA,91105,05D1098267,omnipathology.com,
"LAB GENOMICS, LLC",FOUNTAIN VALLEY,CA,92708,05D2026572,labgenomic.com,
CANOPY BIOSCIENCES,HAYWARD,CA,94545,05D1106350,canopybiosciences.com,
CALPATH MEDICAL ASSOCIATES,SAN JOSE,CA,95124,05D2033368,calpath.com,
"GLOBAL DIAGNOSTIC LAB, INC",PASADENA,CA,91107,05D2038784,infogloballab.com,
HUNTINGTON REPRODUCTIVE CENTER,CARLSBAD,CA,92011,05D2039121,havingbabies.com,
Y & Z WESTWOOD SURGICAL PATHOLOGY,LOS ANGELES,CA,90024,05D2025143,uclahealth.org,
DELTA MEDICAL GROUP OF PATHOLOGISTS INC,LODI,CA,95240,05D2029285,deltapathology.com,
VITAE DIAGNOSTICS,TORRANCE,CA,90503,05D2044828,vitaediagnostics.com,
MD TOX LABORATORY,IRVINE,CA,92614,05D2040304,startupwebsolutions.com.au,
NAVJYOT GUJRAL MD,SANTA ANA,CA,92705,05D2072631,memorialcare.org,
SAN FRANCISCO DERMATOPATHOLOGY,DALY CITY,CA,94015,05D2069498,dermatopathologyinstitute.com,
PATHKARE INC,SANTA ANA,CA,92705,05D2006188,pathkare.com,
NEWPORT HARBOR PATHOLOGY,NEWPORT BEACH,CA,92663,05D1100910,newpathlabs.com,
NEWPORT HARBOR PATHOLOGY,NEWPORT BEACH,CA,92663,05D2050266,newpathlabs.com,
SHARP REES - STEALY CLINICAL LABORATORY-FIR,SAN DIEGO,CA,92101,05D2056068,sharp.com,
HUNTINGTON REPRODUCTIVE CENTER MEDICAL GROUP,RANCHO CUCAMONGA,CA,91730,05D2064026,havingbabies.com,
ORANGE COUNTY LABS INC,HUNTINGTON BEACH,CA,92647,05D2068755,orangecountylabs.com,
SAN DIEGO FAMILY DERMATOLOGY,POWAY,CA,92064,05D2060295,sdfamilyderm.com,
ALAMEDA COUNTY PUBLIC HEALTH,OAKLAND,CA,94605,05D2090025,health.alamedacountyca.gov,
HELIX MOBILE WELLNESS,SAN FRANCISCO,CA,94102,05D2103632,helixmwr.com,
"OMNIA DIAGNOSTIC LABORATORY, LLC",TORRANCE,CA,90502,05D2096883,omniadxlab.com,
CSI MEDICAL GROUP,LA CANADA FLINTRIDGE,CA,91011,05D2069464,orthocsi.com,
"LINO J DEGUZMAN, MD PC LABORATORY",NEWPORT BEACH,CA,92663,05D2098715,drdeguzman.com,
BACH MEDICAL GROUP,IRVINE,CA,92614,05D2101629,bachdx.com,
INDIVIDX,RANCHO CUCAMONGA,CA,91730,05D2096856,individx.com,
SPECIALIZED UNIVERSITY PATHOLOGISTS,DUARTE,CA,91010,05D2115860,pathmdlabs.com,
IRVINE PATHOLOGY MEDICAL GROUP INC,FOOTHILL RANCH,CA,92610,05D2102456,irvinepath.com,
"SCHWALB CONSULTING, LLC DBA JIT LABS",IRVINE,CA,92618,05D2124530,jit-labs.com,
HOAG CANCER CENTER IRVINE,IRVINE,CA,92618,05D2097962,hoag.org,
ORANGE COUNTY SKINLAB,SAN JUAN CAPISTRANO,CA,92675,05D2107293,ocskinlab.com,
CSI MEDICAL GROUP PC,CAMARILLO,CA,93010,05D2118106,opengovus.com,
"CA DEPT OF PUBLIC HEALTH, DRINKING WATER &",RICHMOND,CA,94804,05D2112676,cdph.ca.gov,
TORAY MOLECULAR ONCOLOGY LABORATORY,BRISBANE,CA,94005,05D2130372,qimrberghofer.edu.au,
ATCG LABORATORY,IRVINE,CA,92614,05D2104354,atcglaboratory.com,
GENOMIC TESTING COOPERATIVE,VALLEY CENTER,CA,92082,05D2129017,genomictestingcooperative.com,
SKIN AND BEAUTY CENTER LAB,BURBANK,CA,91505,05D2144307,dermla.com,
YOSEMITE PATHOLOGY MEDICAL GROUP INC,MODESTO,CA,95356,05D2146088,,
ALL SOUTH BAY FOOTCARE PODIATRY GROUP INC,TORRANCE,CA,90505,05D2128423,allsouthbayfootcare.com,
"USA BIOSCIENCES, LLC",LOMITA,CA,90717,05D2147767,usabioscienceslab.com,
WESTERN PATHOLOGY INC.,SANTA BARBARA,CA,93110,05D2163759,westernpathologyinc.com,
SUNRISE DIAGNOSTICS LABORATORIES INC,MONTROSE,CA,91020,05D2166864,sunlab8.com,
NEOANALYTICS LABORATORY,ALHAMBRA,CA,91801,05D2153457,neoanalyticslab.com,
"NEW WORLD CLINICAL LABORATORY, INC",LOS ALAMITOS,CA,90720,05D2145018,opengovus.com,
DYNACARE DIAGNOSTIC,CLOVIS,CA,93611,05D2167092,dynacarelab.com,
SHARP REES STEALY CLINICS,SAN DIEGO,CA,92123,05D2167404,sharp.com,
"ALTERA LABORATORY SERVICES, LLC",SANTA ANA,CA,92705,05D2154950,patients.alterabiolab.com,
PRECISION PATHOLOGY MEDICAL GROUP INC,PLEASANTON,CA,94588,05D2169457,labprospects.com,
INNOVATIVE PATHOLOGY MEDICAL GROUP,TORRANCE,CA,90503,05D2180074,innovativepathology.com,
STEMEXPRESS,FOLSOM,CA,95630,05D2181681,visualvisitor.com,
SC HEALTH LABS,IRVINE,CA,92618,05D2141585,schealthlabs.com,
ASTERIA LABORATORY,LOS ANGELES,CA,90048,05D2174365,astranahealth.com,
ALEXANIAN MEDICAL LABORATORIES,AGOURA HILLS,CA,91301,05D2189712,bizprofile.net,
NATIONAL DIAGNOSTIC LABORATORY,SHERMAN OAKS,CA,91423,05D2182441,nationaldiagnostics.com,
"MAGIC OWL LABORATORIES, INC",MONROVIA,CA,91016,05D2207606,magicowllabs.com,
"WESTERN PATHOLOGY, INC",IRVINE,CA,92618,05D2227171,westernpathologyinc.com,
"CARIS MPI, INC DBA CARIS LIFE SCIENCES",LA JOLLA,CA,92037,05D2191611,carislifesciences.com,
UNIVERSITY DERMATOPATHOLOGY,BURBANK,CA,91505,05D2174490,dermpathonline.com,
MEDUSA PATHOLOGY INC,NAPA,CA,94559,05D2207793,medusapath.com,
"CSL PLASMA, INC",RIVERSIDE,CA,92507,05D2211703,cslplasma.com,
"CARIS MPI, INC",SAN JUAN CAPISTRANO,CA,92675,05D2214363,carislifesciences.com,
"CARIS MPI, INC",IRVINE,CA,92618,05D2216638,carismpi.com,
EIV DIAGNOSTICS,FRESNO,CA,93710,05D2181132,eivdiagnostics.com,
SHARP REES STEALY CLINICS LABORATORY-SANTEE,SANTEE,CA,92071,05D2200574,sharp.com,
BIOLIFE PLASMA SERVICES LP,RIALTO,CA,92376,05D2217418,biolifeplasma.com,
PALM VALLEY MULTI-SPECIALTY MEDICAL GROUP PC,PALM DESERT,CA,92260,05D2216642,findseniormed.com,
DOCTORNOW,NORTHRIDGE,CA,91324,05D2212012,vitadox.com,
NEOM DIAGNOSTIC LABORATORIES,TORRANCE,CA,90501,05D2245218,neomdiagnostic.com,
"ALTA DIAGNOSTIC LABORATORIES, INC",ALTADENA,CA,91001,05D2234621,altalab.net,
"SOUTH WEST SCIENCE LABS, LLC",COSTA MESA,CA,92626,05D2244551,npiindex.com,
BIOLIFE PLASMA SERVICES LP,POMONA,CA,91766,05D2232344,biolifeplasma.com,
"CARIS MPI, INC",IRVINE,CA,92604,05D2216872,carismpi.com,
BIOLIFE PLASMA SERVICES LP,SAN MARCOS,CA,92069,05D2242005,biolifeplasma.com,
NEOGENOMICS LABORATORIES INC,FRESNO,CA,93720,05D2265860,neogenomics.com,
BIOLIFE PLASMA SERVICES LP,VISALIA,CA,93277,05D2255703,biolifeplasma.com,
BIOLIFE PLASMA SERVICES LP,VISTA,CA,92081,05D2242431,biolifeplasma.com,
YOSEMITE PATHOLOGY MEDICAL GROUP INC,VISALIA,CA,93291,05D2265005,yosemitepathology.com,
SPECTRUM MOLECULAR DIAGNOSTICS LABORATORY,RANCHO SANTA MARGARITA,CA,92688,05D2232585,spectrumdxlabs.com,
SUTTER BAY MEDICAL FOUNDATION-,SUNNYVALE,CA,94086,05D2270378,sutterhealth.org,
"LIFEQUEST DIAGNOSTIC, INC",ANAHEIM,CA,92801,05D2274138,lifequestdiagnostics.com,
SONIC DIAGNOSTIC LABORATORY INC,CHATSWORTH,CA,91311,05D2275785,network.doctor2me.com,
DIALOGIX LABORATORIES,REDLANDS,CA,92373,05D2262146,dialogixlab.com,
"MAMMOTH PATH SOLUTION, LLC",LAKE FOREST,CA,92630,05D2291536,mammothpathsolution.com,
BIOLIFE PLASMA SERVICES LP,RIVERSIDE,CA,92504,05D2226164,biolifeplasma.com,
PROLACTA BIOSCIENCE INC,DUARTE,CA,91010,05D2307605,prolacta.com,
TPMG REGIONAL GENOMICS LABORATORY,SAN JOSE,CA,95138,05D2296234,healthy.kaiserpermanente.org,
CORTEX LAB INC,VAN NUYS,CA,91404,05D2310314,labprospects.com,
THRIVELAB LLC,LAGUNA HILLS,CA,92653,05D2304140,thrivelab.com,
FULGENT THERAPEUTICS LLC,IRVINE,CA,92606,05D2294994,fulgent-therapeutics.com,
OCEANSIDE DIAGNOSTICS LLC,OCEANSIDE,CA,92054,05D2318147,oceansidediagnostics.com,
PACIFIC PATHOLOGY DIAGNOSTICS LABORATORY,CAMPBELL,CA,95008,05D2319483,pdllabs.com,
PLATINUM DIGESTIVE HEALTH,RANCHO CUCAMONGA,CA,91730,05D2295343,pdhgi.com,
