name,address,city,state,zip,phone,clia_number,lab_type,cms_facility_type_name,test_volume,site_count
ARTHRITIS AND RHEUMATOLOGY ASSOCIATES,2848 S DELSEA DR,VINELAND,NJ,08360,8567948845,31D0912834,POL,physician_office,300,0
REPRODUCTIVE MEDICINE ASSOCIATES,60 COLUMBIA ROAD,MORRISTOWN,NJ,07960,9086562823,31D0919498,REFERENCE,independent,4950,0
BARNABAS HEALTH MEDICAL GROUP,804 WEST PARK AVENUE,OCEAN,NJ,07712,7325310010,31D0925953,POL,physician_office,4700,0
GASTROENTEROLOGY ASSOCIATES,46 DEFOREST AVENUE,EAST HANOVER,NJ,07936,2016231965,31D0941780,POL,physician_office,20000,0
SUMMIT MEDICAL GROUP,1255 BROAD ST,CLIFTON,NJ,07013,9734047997,31D0957525,POL,physician_office,25000,0
"ATLANTIC ONCOLOGY ASSOCIATES, LLC",54 WEST JIMMIE LEEDS ROAD,GALLOWAY TOWNSHIP,NJ,08205,6097481001,31D0972314,POL,physician_office,7800,0
ATLANTIC DERMATOLOGY ASSOCIATES LLC,1031 MCBRIDE AVENUE,WOODLAND PARK,NJ,07424,9732566350,31D1006183,POL,physician_office,150,0
REGIONAL CANCER CARE ASSOCIATES - SPARTA,210 WOODPORT ROAD,SPARTA,NJ,07871,9737260005,31D1018141,POL,physician_office,22560,0
PRINCETON LONGEVITY MEDICAL GROUP,104 CARNEGIE CENTER DRIVE,PRINCETON,NJ,08540,6099190895,31D1041308,POL,physician_office,17000,0
"SHAMRA MEDICAL LABORATORY, LLC",950 STATE ROUTE 35,MIDDLETOWN,NJ,07748,7328880017,31D1055495,POL,physician_office,46260,0
MARGARET RAVITS & ASSOCIATES,721 SUMMIT AVENUE,HACKENSACK,NJ,07601,2014873691,31D1058391,POL,physician_office,250,0
ADVANCED DERMATOLOGY ASSOCIATES,1 CENTRE STREET,SPARTA,NJ,07871,9737293945,31D1064777,POL,physician_office,1000,0
ATLANTICARE REGIONAL MEDICAL CENTER -,219 WHITE HORSE PIKE,HAMMONTON,NJ,08037,6094418063,31D1100091,REFERENCE,other,103550,0
GASTROENTEROLOGY ASSOCIATES,16 POCONO ROAD,DENVILLE,NJ,07834,9736277600,31D1105568,POL,physician_office,4000,0
SUN WELLNESS LLC,2273 ROUTE 33,HAMILTON,NJ,08690,6098901900,31D2011573,POL,physician_office,4000,0
"DERMATOLOGY ASSOCIATES OF SOUTH JERSEY, LLC",150 CENTURY PARKWAY,MOUNT LAUREL,NJ,08054,8562060201,31D2027817,POL,physician_office,550,0
SLEEP AND WELLNESS MEDICAL ASSOCIATES,31 E DARRAH LANE,LAWRENCEVILLE,NJ,08648,6095879944,31D2037055,POL,physician_office,8620,0
REPRODUCTIVE MEDICINE ASSOCIATES,140 ALLEN ROAD,BASKING RIDGE,NJ,07920,9736562823,31D2046030,REFERENCE,independent,140766,0
PRINCETON MEDICAL GROUP PLAINSBORO,3 LIBERTY STREET,PLAINSBORO,NJ,08536,6099249300,31D2046543,POL,physician_office,56250,0
SYNERGY MEDICAL LABS,152 STATE ROUTE 35,KEYPORT,NJ,07735,7326954700,31D2053614,REFERENCE,independent,52000,0
REGIONAL CANCER CARE ASSOCIATES,211 N MAIN ST,CAPE MAY COURT HOUSE,NJ,08210,6095368414,31D2059087,POL,physician_office,13200,0
BIOGENICA LABORATORIES LLC,241 MOLNAR DR,ELMWOOD PARK,NJ,07407,2017917293,31D2063148,REFERENCE,independent,9000,0
ATLANTIC MEDICAL ONCOLOGY,"89 SPARTA AVENUE, SUITE 207",SPARTA,NJ,07871,9739408780,31D2093926,POL,physician_office,1950,0
RIDGEWOOD DIAGNOSTIC LABORATORY,126 STATE ST,HACKENSACK,NJ,07601,9735422343,31D2109691,REFERENCE,independent,34210,0
"APOLLO CLINICAL LABORATORIES, INC",2124 MORRIS AVENUE,UNION,NJ,07083,9086862300,31D2114374,REFERENCE,independent,2500,0
REPRODUCTIVE MEDICINE ASSOCIATES,109 PROFESSIONAL VIEW DRIVE,FREEHOLD,NJ,07728,9736562823,31D2114553,POL,physician_office,1000,0
ESSEX GASTROENTEROLOGY ASSOCIATES,275 CHESTNUT STREET,NEWARK,NJ,07105,9735895545,31D2118958,POL,physician_office,600,0
REPRODUCTIVE MEDICINE ASSOCIATES,95 OLD MARLTON PIKE WEST,MARLTON,NJ,08053,9736562823,31D2120264,REFERENCE,independent,2500,0
REPRODUCTIVE MEDICINE ASSOCIATES,955 SOUTH SPRINGFIELD AVE,SPRINGFIELD,NJ,07081,9736562823,31D2122628,POL,physician_office,300,0
ATLANTIC MEDICAL GROUP - DBA ACOHA-NJ,741 NORTHFIELD AVE,WEST ORANGE,NJ,07052,9733792111,31D2133984,POL,physician_office,2889,0
ETHEL DIAGNOSTIC LABORATORY,4 ETHEL ROAD,EDISON,NJ,08817,7329026968,31D2140887,REFERENCE,independent,5000,0
"VANGUARD MEDICAL, PA",16 POCONO ROAD,DENVILLE,NJ,07834,9735593701,31D2155829,POL,physician_office,1000,0
MONMOUTH MEDICAL CENTER VANTAGE POINT,100 ROUTE 36 EAST,WEST LONG BRANCH,NJ,07764,7329237352,31D2157832,POL,physician_office,9500,0
PREMIER LABORATORIES,177 VALLEY BLVD,WOOD-RIDGE,NJ,07075,2013476778,31D2197504,REFERENCE,independent,27000,0
AMEDIX DIAGNOSTIC,1500 CARDINAL DR,LITTLE FALLS,NJ,07424,9738302711,31D2263712,REFERENCE,independent,1500,0
P AND S MEDICAL GROUP LLC,245 UNION AVE,BRIDGEWATER,NJ,08807,7324433975,31D2281954,POL,physician_office,400,0
"JOURNEY TO WELLNESS, INC",220 MARKET ST,PERTH AMBOY,NJ,08861,7327097440,31D2303983,POL,physician_office,24000,0
MANHATTAN INTERNAL MEDICINE ASSOCIATES PC,"145 EAST 32ND STREET, SUITE 303",NEW YORK,NY,10016,2127255300,33D0130701,POL,physician_office,78064,0
WESTCHESTER MEDICAL GROUP PLLC,73 MARKET STREET,YONKERS,NY,10710,9087604078,33D0140385,POL,physician_office,3089,0
HORIZON MEDICAL GROUP PC,1460 ROUTE 17 M - SUITE C,CHESTER,NY,10918,8454693559,33D0141290,POL,physician_office,947750,0
GREAT NECK PEDIATRIC ASSOCIATES PC,173 EAST SHORE ROAD,GREAT NECK,NY,11023,5164874020,33D0143291,POL,physician_office,1574,0
ATLANTIC DERMATOLOGIC ASSOCIATES LLP,"2270 KIMBALL STREET, SUITE 201",BROOKLYN,NY,11234,7182534550,33D0147899,POL,physician_office,143,0
WOODMERE MEDICAL ASSOCIATES,15 IRVING PLACE,WOODMERE,NY,11598,5163746750,33D0155533,POL,physician_office,38117,0
"ORBUCH BRAND DERMATOLOGY ASSOCIATES, LLP","4277 HEMPSTEAD TURNPIKE, SUITE 206",BETHPAGE,NY,11714,5167316505,33D0156337,POL,physician_office,1720,0
NORTH SHORE HEMATOLOGY ONCOLOGY ASSOCIATES PC,5316 NESCONSET HIGHWAY,PORT JEFFERSON STATION,NY,11776,6316753325,33D0159503,POL,physician_office,45005,0
SULLIVAN INTERNAL MEDICAL GROUP PC,"4058 STATE ROUTE 42, SUITE 5",MONTICELLO,NY,12701,8457941600,33D0164352,POL,physician_office,26830,0
OPTUM MEDICAL CARE PC,"575 UNDERHILL BLVD, SUITE 310",SYOSSET,NY,11791,5169212122,33D0667934,POL,physician_office,7750,0
WESTCHESTER MEDICAL GROUP PLLC,210 WESTCHESTER AVENUE SUITE 103,WHITE PLAINS,NY,10604,9144014282,33D0669333,POL,physician_office,13019,0
OPTUM MEDICAL CARE PC,"2 LINCOLN AVENUE, SUITE 301",ROCKVILLE CENTRE,NY,11570,5165362000,33D0671012,POL,physician_office,875,0
KIDS CARE PEDIATRIC ASSOCIATES PC,2266 DUTCH BROADWAY,ELMONT,NY,11003,5167750493,33D0674937,POL,physician_office,14000,0
LONG ISLAND PULMONARY ASSOCIATES PC,520 FRANKLIN AVE SUITE 153,GARDEN CITY,NY,11530,5164862300,33D0689665,POL,physician_office,3121,0
PEDIATRIC ASSOCIATES,"800 BROADWAY AVENUE, SUITE D",HOLBROOK,NY,11741,6315632294,33D0711068,POL,physician_office,123,0
"DIGESTIVE HEALTHCARE ASSOCIATES, PC","310 EAST SHORE ROAD, SUITE 206",GREAT NECK,NY,11023,5164877677,33D0868204,POL,physician_office,2500,0
NY CARDIOLOGY ASSOCIATES PC,425 EAST 61ST STREET 6TH FL,NEW YORK,NY,10065,2127522000,33D0886395,POL,physician_office,20,0
SEVENTY SECOND STREET MEDICAL ASSOCIATES PC,310 EAST 72ND STREET,NEW YORK,NY,10021,2125706332,33D0890124,POL,physician_office,14250,0
ENDO ASSOCIATES OF STATEN ISLAND,360 EDISON STREET,STATEN ISLAND,NY,10306,7183516389,33D0897210,POL,physician_office,34035,0
NORTH SHORE HEMATOLOGY ONCOLOGY ASSOCIATES,2330 EASTCHESTER ROAD,BRONX,NY,10469,6319753325,33D0906022,POL,physician_office,155956,0
WOMEN'S WELLNESS PLACE PC,739 IRVING AVENUE  SUITE 530,SYRACUSE,NY,13210,3154781158,33D0906328,POL,physician_office,5902,0
"NORTH SHORE HEMATOLOGY-ONCOLOGY ASSOCIATES, PC",136 EAST MAIN STREET,EAST ISLIP,NY,11730,6316753325,33D0926424,POL,physician_office,68905,0
ATLANTIC DERMATOLOGIC ASSOCIATES LLP,444 MERRICK ROAD - STE LL2,LYNBROOK,NY,11563,5165994498,33D0948973,POL,physician_office,7974,0
BUFFALO MEDICAL GROUP,425 ESSJAY ROAD,WILLIAMSVILLE,NY,14221,7166301000,33D0950892,POL,physician_office,5155,0
BUFFALO MEDICAL GROUP PC,3900 NORTH BUFFALO ROAD,ORCHARD PARK,NY,14127,7166302516,33D0954485,POL,physician_office,11705,0
I K MEDICAL PC,8401 FORT HAMILTON PARKWAY,BROOKLYN,NY,11209,7187590105,33D0958869,POL,physician_office,76440,0
PEDIATRIC ASSOCIATES OF PLAINVIEW LLP,"400 S OYSTER ROAD, SUITE 207",HICKSVILLE,NY,11801,5168221400,33D0963261,POL,physician_office,750,0
"PEDIATRIC ASSOCIATES OF NYC, PC","20 PLAZA STREET EAST, SUITE A7",BROOKLYN,NY,11238,7188575500,33D0967649,POL,physician_office,6484,0
KAKOSSIAN MEDICAL WOMAN CARE PC,"1180 BRIGHTON BEACH AVENUE, FIRST FLOOR",BROOKLYN,NY,11235,7188338777,33D0994451,POL,physician_office,8990,0
WESTCHESTER MEDICAL GROUP PLLC,1 THEALL ROAD,RYE,NY,10580,9148488888,33D0994912,POL,physician_office,3861,0
INNA GORDIN MEDICAL PC,"2647 CONEY ISLAND AVENUE, 1ST FLOOR",BROOKLYN,NY,11223,7183820500,33D0999154,POL,physician_office,1900,0
WESTCHESTER MEDICAL GROUP PLLC,171 HUGUENOT STREET,NEW ROCHELLE,NY,10801,9146075895,33D1001304,POL,physician_office,5275,0
LIFE LONG MEDICAL PC,2569 OCEAN AVENUE,BROOKLYN,NY,11229,7183323100,33D1004384,POL,physician_office,2500,0
BB MEDICAL & DERMATOLOGY INC PC,365 BROADWAY,KINGSTON,NY,12401,8454192899,33D1013783,POL,physician_office,250,0
BEST WOMENS MEDICAL CARE PC,3047 BRIGHTON 6TH STREET -  STE 1,BROOKLYN,NY,11235,7188754848,33D1017139,POL,physician_office,46730,0
KOFMAN MEDICAL SERVICES PC,"2748 OCEAN AVENUE, APT 6",BROOKLYN,NY,11229,7183761325,33D1039705,POL,physician_office,964,0
"V ALEKSANDROVICH MEDICAL, PC","3080 WEST 1ST STREET, SUITE 102",BROOKLYN,NY,11224,7182077071,33D1048600,POL,physician_office,4626,0
LYUDMILA SVERKUNOVA MEDICAL PC,"3280 NOSTRAND AVENUE, SUITE 1LA",BROOKLYN,NY,11229,7186450333,33D1049273,POL,physician_office,3187,0
URGENT ONE MEDICAL CARE PC,"660 CENTRAL AVENUE, SUITE #3",CEDARHURST,NY,11516,5163742228,33D1054884,POL,physician_office,1000,0
BRENTWOOD PEDIATRIC & ADOLESCENT ASSOCIATES PC,1464 FIFTH AVENUE,BAY SHORE,NY,11706,6312315070,33D1061157,POL,physician_office,1000,0
NEW YORK ANESTHESIOLOGY MEDICAL SPECIALTIES,5496 EAST TAFT ROAD - SUITE 2A,NORTH SYRACUSE,NY,13212,3154596824,33D1084608,POL,physician_office,147406,0
EDWARD CONDON MEDICAL PC,"6080 JERICHO TURNPIKE, SUITE 314",COMMACK,NY,11725,6314622200,33D1087089,POL,physician_office,185954,0
"NY MEDICAL SKIN SOLUTIONS, PLLC","345 E 37TH STREET, SUITE 317",NEW YORK,NY,10016,2128671020,33D1089124,POL,physician_office,200,0
LONG ISLAND QUEENS MEDICAL ASSOCIATES PC,"300 OLD COUNTRY ROAD, SUITE 211",MINEOLA,NY,11501,5162802599,33D1091586,POL,physician_office,28602,0
DR YIO MEDICAL SERVICE PC,"39-16 PRINCE STREET, M53/54",FLUSHING,NY,11354,7188866330,33D1099029,POL,physician_office,2373,0
GASTROENTEROLOGY ASSOCIATES OF SUFFOLK PC,285 MIDDLE COUNTRY ROAD SUITE LL 4,SMITHTOWN,NY,11787,6313317200,33D1099573,POL,physician_office,800,0
WESTERN NEW YORK MEDICAL PC,4979 HARLEM RD,AMHERST,NY,14226,7169234385,33D2002223,POL,physician_office,180200,0
MIDDLETOWN MEDICAL PC,2142 ROUTE 302 SUITE 103,CIRCLEVILLE,NY,10919,8458882200,33D2005147,POL,physician_office,1555,0
OPTUM MEDICAL CARE PC,"575 UNDERHILL BLVD, SUITE 100",SYOSSET,NY,11791,5169217546,33D2008856,POL,physician_office,1530,0
AGI MEDICAL PLLC,"717 56TH STREET, 3RD FLOOR",BROOKLYN,NY,11220,7184353890,33D2008858,POL,physician_office,4487,0
MAZE LABORATORIES,633 3RD AVENUE - SUITE 9B,NEW YORK,NY,10017,9146830000,33D2013580,POL,physician_office,13500,0
CTU MEDICAL PC,837 58TH STREET 5TH FLOOR,BROOKLYN,NY,11220,7188532828,33D2018482,POL,physician_office,500,0
"ADVANCED SOUTHERN WESTCHESTER MEDICAL, PC","970 NORTH BROADWAY, SUITE 110",YONKERS,NY,10701,9143755700,33D2036797,POL,physician_office,1600,0
MAIDEN LANE MEDICAL PLLCR,"90 MAIDEN LANE, THIRD FLOOR",NEW YORK,NY,10038,6462909560,33D2046630,POL,physician_office,35848,0
REPRODUCTIVE MEDICINE ASSOCIATES OF NEW YORK,430 ALBEE SQUARE FL 2,BROOKLYN,NY,11201,7185328700,33D2046784,POL,physician_office,13500,0
OPTUM MEDICAL CARE PC,3 DELAWARE DRIVE - SUITE 205,LAKE SUCCESS,NY,11042,5169217546,33D2048212,POL,physician_office,303,0
MANHATTAN PEDIATRIC ASSOCIATES,"859 60TH STREET, SUITE CM 1 A",BROOKLYN,NY,11220,7188547666,33D2063831,POL,physician_office,1600,0
FNA MEDICAL DIAGNOSTICS PLLC,244 WESTCHESTER AVE RM 104,WEST HARRISON,NY,10604,6463384803,33D2071407,POL,physician_office,500,0
MERRICK MEDICAL CARE PLLC,1703 MERRICK AVENUE,MERRICK,NY,11566,5163783311,33D2073527,POL,physician_office,1700,0
NEW YORK PROFESSIONAL MEDICAL SERVICES LLC,"2444 86TH STREET, SUITE A",BROOKLYN,NY,11214,3472308174,33D2100316,POL,physician_office,500,0
NORTH SHORE HEMATOLOGY-ONCOLOGY ASSOCIATES PC,72 EAST MAIN STREET,BABYLON,NY,11702,6316753325,33D2101355,POL,physician_office,111950,0
NEW YORK MEDICAL SCIENCES PC,810 7TH AVENUE - 21ST FLOOR,NEW YORK,NY,10019,2122908100,33D2104121,POL,physician_office,56857,0
"INTEGRATED MEDICAL PROFESSIONALS, PLLC","340 BROADHOLLOW ROAD, SUITE E",FARMINGDALE,NY,11735,5162807930,33D2109963,POL,physician_office,51500,0
MANHATTAN PEDIATRIC ASSOCIATES PC,84-05 QUEENS BLVD- 2ND FLOOR,ELMHURST,NY,11373,7185650688,33D2111572,POL,physician_office,1100,0
PREMIER MEDICAL GROUP OF THE HUDSON VALLEY PC,82 WASHINGTON STREET SUITE 101,POUGHKEEPSIE,NY,12601,8457906142,33D2113820,POL,physician_office,455382,0
WESTCHESTER MEDICAL GROUP PLLC,1084 NORTH BROADWAY,YONKERS,NY,10701,9087604078,33D2127860,POL,physician_office,3537,0
WESTCHESTER MEDICAL GROUP PLLC,3030 WESTCHESTER AVE,PURCHASE,NY,10577,9148318970,33D2132521,POL,physician_office,47000,0
SOOD MEDICAL LLC,"1 BRIDGE STREET, 1ST FLOOR",ARDSLEY,NY,10502,8622388250,33D2146127,POL,physician_office,200000,0
ADVANCED MEDICAL OF GRAND CENTRAL PC,"1200 GRAVESEND NECK ROAD, SUITE LC",BROOKLYN,NY,11229,7183328634,33D2152586,POL,physician_office,4500,0
JAMAICA QUEENS PROFESSIONAL MEDICAL SERVICES,162-03 JAMAICA AVENUE - SUITE 200A,JAMAICA,NY,11432,7183011100,33D2157731,POL,physician_office,500,0
NORTH SHORE HEMATOLOGY-ONCOLOGY ASSOCIATES PC,30-16 30TH DRIVE 2ND FLOOR,LONG ISLAND CITY,NY,11102,6316753325,33D2164668,POL,physician_office,23760,0
BRAIN AND SPINE MEDICAL SERVICES PLLC,400 INTERNATIONAL DR,WILLIAMSVILLE,NY,14221,7166313555,33D2168229,POL,physician_office,18450,0
BUSHWICK PROFESSIONAL MEDICAL SERVICES OF NEW YORK,864 PENNSYLVANIA AVE,BROOKLYN,NY,11207,6469188651,33D2174876,POL,physician_office,500,0
NORTH SHORE HEMATOLOGY ONCOLOGY ASSOCIATES PC,88-06 55TH AVE 2ND FLOOR,ELMHURST,NY,11373,6316753325,33D2175048,POL,physician_office,46895,0
MIDDLETOWN MEDICAL PC,111 MALTESE DR,MIDDLETOWN,NY,10940,8453424774,33D2182677,POL,physician_office,70503,0
"NORTH SHORE HEMATOLOGY ONCOLOGY ASSOCIATES, PC",6279 ROUTE 25A,WADING RIVER,NY,11792,6316753325,33D2186869,POL,physician_office,23680,0
EMPIRE MEDICAL OFFICE PC,16 E 40TH STREET - 2ND FLOOR,NEW YORK,NY,10016,6467517755,33D2189533,POL,physician_office,6537,0
GREENBERG MEDICAL SERVICES PC,160 CROSSWAYS PARK DRIVE,WOODBURY,NY,11797,5163643422,33D2198228,POL,physician_office,100,0
PRIORITY PRIVATE MEDICAL CARE PC,"760 MONTAUK HWY, SUITE 2C",WATER MILL,NY,11976,6466877600,33D2209975,POL,physician_office,5000,0
CORONA MEDICAL PC,623 MIDDLE NECK RD,GREAT NECK,NY,11023,5166204555,33D2210935,POL,physician_office,72736,0
NORTH SHORE HEMATOLOGY ONCOLOGY ASSOCIATES PC,96-10 METROPOLITAN AVENUE - 3RD FLOOR - STE N,FOREST HILLS,NY,11375,6316753325,33D2221238,POL,physician_office,87890,0
PRIORITY PRIVATE MEDICAL CARE PC,"945 5TH AVENUE, GROUND LEVEL,  SUITE 2",NEW YORK,NY,10021,6466877600,33D2223093,POL,physician_office,2500,0
NORTH SHORE HEMATOLOGY ONCOLOGY ASSOCIATES PC,215 E 95TH STREET 1ST FLOOR SUITE I,NEW YORK,NY,10128,6316753325,33D2228385,POL,physician_office,46895,0
NORTH SHORE HEMATOLOGY ONCOLOGY ASSOCIATES PC,101 PENNSYLVANIA AVE 5TH FLOOR SUITE A,BROOKLYN,NY,11207,6317513000,33D2231442,POL,physician_office,30000,0
NORTH SHORE HEMATOLOGY ONCOLOGY ASSOCIATES PC,501 HAWKINS AVE,LAKE RONKONKOMA,NY,11779,6316753325,33D2231456,POL,physician_office,93805,0
NORTH SHORE HEMATOLOGY ONCOLOGY ASSOCIATES PC,"1050 CLOVE ROAD, BASEMENT SUITE J",STATEN ISLAND,NY,10301,6316634871,33D2238572,POL,physician_office,82545,0
NORTH SHORE HEMATOLOGY ONCOLOGY ASSOCIATES,86 FLEET PLACE 1ST FLOOR,BROOKLYN,NY,11201,6316634861,33D2266654,POL,physician_office,98410,0
JOSHUA BERKOWITZ MD MEDICAL PC,444 COMMUNITY DRIVE SUITE 302,MANHASSET,NY,11030,5163876826,33D2271534,POL,physician_office,800,0
MINGXUE YANG MEDICAL PC,369 LEXINGTON AVENUE 6TH FL,NEW YORK,NY,10017,2122305711,33D2276962,POL,physician_office,23254,0
"PRIORITY PRIVATE MEDICAL CARE, PC",11 EAST 22ND STREET 3RD FLOOR,NEW YORK,NY,10010,6466877600,33D2283702,POL,physician_office,2500,0
"PRIORITY PRIVATE MEDICAL CARE, PC","503 WEST 35TH STREET, 2ND FLOOR",NEW YORK,NY,10001,6466877600,33D2291511,POL,physician_office,3000,0
BUFFALO MEDICAL GROUP,"3900 NORTH BUFFALO RD, SUITE 2B",ORCHARD PARK,NY,14127,7166301000,33D2307570,POL,physician_office,1500,0
WETCHLER MEDICAL PC,135 CROSSWAYS PARK DRIVE SUITE LL7,WOODBURY,NY,11797,5162127630,33D2313732,POL,physician_office,7200,0
FOREST HILLS MEDICAL SERVICES PC,635 MADISON AVENUE 6TH FL,NEW YORK,NY,10022,2129882111,33D2313749,POL,physician_office,6000,0
OPEN DOOR FAMILY MEDICAL CENTER - CHURCH ST,2 CHURCH ST,OSSINING,NY,10562,9145021350,33D2318259,PSC,fqhc,0,0
"CENTURY MEDICAL AND DENTAL CENTER, INC",260 AVE X,BROOKLYN,NY,11223,7183368855,33D2319880,REFERENCE,independent,3,0
NORTH SHORE HEMATOLOGY AND ONCOLOGY ASSOCIATES PC,2801 RICHMOND AVE SUITE A & SUITE B,STATEN ISLAND,NY,10314,6316753325,33D2321381,POL,physician_office,73300,0
GENEVA MEDICAL CAMPUS,833 CANANDAIGUA RD,GENEVA,NY,14456,3157875755,33D2321484,POL,physician_office,0,0
OPTUM MEDICAL CARE PC,1500 ROUTE 112 BUILDING 1 SUITE 202,PORT JEFFERSON STATION,NY,11776,5169217546,33D2323914,POL,physician_office,200,0
LUZATO MEDICAL GROUP PC,50 EAST 42ND STREET STE # 508,NEW YORK,NY,10017,2126617003,33D2324334,POL,physician_office,20331,0
COMMUNITY MEDICAL & DENTAL CARE INC,100 ROUTE 59,SUFFERN,NY,10901,8455337300,33D2325614,PSC,fqhc,1,0
WASHINGTON HEIGHTS FAMILY HEALTH NP PLLC,1831 ANDREWS AVE SOUTH SUITE 1,BRONX,NY,10453,3475034580,33D2326196,POL,physician_office,0,0
"JRR MEDICAL, PC","380 2ND AVENUE, CONCOURSE A, STE 1",NEW YORK,NY,10010,7182102960,33D2327152,REFERENCE,independent,1,0
MULTIVIZ MEDICAL SERVICES PC DBA OCEAN HILL,215 ROCKAWAY AVE,BROOKLYN,NY,11233,7184981600,33D2327405,POL,physician_office,0,0
AHAVA MEDICAL AND REHABILITATION CENTER LLC,2577 NOSTRAND AVE,BROOKLYN,NY,11210,7186064020,33D2328066,PSC,ancillary_test_site,1,0
UR MEDICINE GENDER WELLNESS - OBSTETRICS AND,125 LATTIMORE RD - SUITE 150,ROCHESTER,NY,14620,5852752691,33D2328246,PSC,ancillary_test_site,0,5
EAST SIDE ONCOLOGY ASSOCIATES PLLC,"11 BROADWAY, SUITE 2000",NEW YORK,NY,10004,2124008384,33D2332274,POL,physician_office,1500,0
EAST LIBERTY FAMILY HEALTH CARE CENTER,7157 MARY PECK BOND PLACE,PITTSBURGH,PA,15206,4126612802,39D0177137,PSC,community_clinic,4986,3
SOUTHWEST MEDICAL CENTER,119 WILSON ROAD,BENTLEYVILLE,PA,15314,7242394700,39D0179861,POL,physician_office,36100,0
METABOLIC DISEASE ASSOCIATES INC,240 WEST 11TH STREET,ERIE,PA,16501,8144522218,39D0184183,POL,physician_office,20659,0
FULTON COUNTY MEDICAL CENTER,214 PEACH ORCHARD ROAD,MCCONNELLSBURG,PA,17233,7174856169,39D0187054,UNSUITABLE,hospital,56232,0
DERMATOLOGY ASSOCIATES,246 HANOVER STREET,GETTYSBURG,PA,17325,7177414666,39D0187270,POL,physician_office,509,0
CANCER CARE ASSOCIATES OF YORK,25 MONUMENT ROAD SUITE 294,YORK,PA,17403,7177419229,39D0187805,POL,physician_office,323343,0
ADVANCED DERMATOLOGY ASSOCIATES LTD,1259 SOUTH CEDAR CREST BLVD SUITE 100,ALLENTOWN,PA,18103,6104374134,39D0191111,POL,physician_office,850,0
GEISINGER MEDICAL CENTER CANCER CENTER HAZLETON,1740 EAST BROAD STREET MC 38-46,HAZLETON,PA,18201,5705010174,39D0191388,POL,physician_office,31400,0
GASTROENTEROLOGY ASSOCIATES LTD,3131 COLLEGE HEIGHTS BOULEVARD,ALLENTOWN,PA,18104,4843871094,39D0657489,POL,physician_office,10000,0
DERMATOLOGY ASSOCIATES OF YORK INC,205 SAINT CHARLES WAY,YORK,PA,17402,7177414666,39D0678072,POL,physician_office,2900,0
OB/GYN ASSOCIATES OF ERIE,"100 PEACH STREET, SUITE 202",ERIE,PA,16507,8144591851,39D0679874,POL,other_practitioner,6964,0
FULTON COUNTY MEDICAL CENTER,214 PEACH ORCHARD ROAD,MCCONNELLSBURG,PA,17233,7174853155,39D0690451,UNSUITABLE,hospital,2000,0
JEFFERSON DERMATOLOGY ASSOCIATES,"33 S 9TH STREET, SUITE 740",PHILADELPHIA,PA,19107,2159556680,39D0696343,POL,physician_office,1300,0
AESTHETIC DERMATOLOGY ASSOCIATES PC,"176 S NEW MIDDLETOWN ROAD, SUITE 203",MEDIA,PA,19063,6105667300,39D0885383,POL,physician_office,544,0
"YARDLEY DERMATOLOGY ASSOCIATES, PC",803 FLORAL VALE BOULEVARD,YARDLEY,PA,19067,2155796155,39D0887030,POL,physician_office,200,0
