name,domain,phone,address,city,state,zip,clia_number,certified_at,certificate_type,site_count,test_volume,classification_codes,segments,lab_type,cms_facility_type_code,cms_facility_type_name,russian_candidate
BIRMINGHAM HEMATOLOGY / ONCOLOGY,,2058034377,100 PILOT MEDICAL DRIVE   SUITE 175,BIRMINGHAM,AL,35235,01D0662345,2026-01-14,Compliance,0,5000,,unspecified,POL,21,physician_office,False
BBH PCN GARDENDALE,,2056315521,430 FIELDSTOWN  ROAD,GARDENDALE,AL,35071,01D0665601,2025-07-22,Compliance,0,29418,,unspecified,POL,21,physician_office,False
HAMILTON PRIMARY CARE CENTER,,2059216496,1336 MILITARY STREET SOUTH,HAMILTON,AL,35570,01D0665717,2025-04-15,Compliance,0,35560,,unspecified,POL,21,physician_office,False
CHARLES W NOLEN JR MD PC,,2059327821,1705 1ST WAY NW,FAYETTE,AL,35555,01D0668755,2026-03-10,Compliance,0,20402,,unspecified,POL,21,physician_office,False
SELMA DOCTORS CLINIC,,3348749064,509 PARKMAN AVENUE,SELMA,AL,36701,01D0670422,2025-09-24,Compliance,0,121255,,unspecified,POL,21,physician_office,False
CHARLES HENDERSON CHILD HEALTH CENTER,,3345667600,1300 HWY 231 SOUTH,TROY,AL,36081,01D0674449,2025-08-12,Compliance,0,3275,,unspecified,POL,21,physician_office,False
GORDON T CONNOR MD,,2058772193,2018 BROOKWOOD MED CTR DR POB SUITE 209,BIRMINGHAM,AL,35209,01D0681275,2026-02-04,Compliance,0,8029,,unspecified,POL,21,physician_office,False
GILL FAMILY MEDICINE,,2563559040,2422 DANVILLE ROAD SUITE E,DECATUR,AL,35603,01D0681444,2025-08-20,Compliance,0,24470,,unspecified,POL,21,physician_office,False
STEWART DERMATOLOGY,,3347495604,122 N 20TH STREET #25,OPELIKA,AL,36801,01D0683617,2025-10-14,Compliance,0,375,,unspecified,POL,21,physician_office,False
PARTNERS IN PEDIATRICS,,3342721799,8160 SEATON PLACE,MONTGOMERY,AL,36116,01D0695446,2025-12-09,Compliance,0,4795,,unspecified,POL,21,physician_office,False
"PLANNED PARENTHOOD SOUTHEAST, INC BIRMINGHAM",,4045678364,1019 1ST AVENUE N,BIRMINGHAM,AL,35203,01D0698418,2025-12-10,Accreditation,0,0,,unspecified,POL,21,physician_office,False
SKELTON PEDIATRICS,,2568911221,104 ALABAMA AVE SUITE B,ALBERTVILLE,AL,35950,01D0700618,2025-09-25,Compliance,0,9600,,unspecified,POL,21,physician_office,False
CHILDERSBURG PRIMARY CARE,,2563783313,33637 US HWY 280,CHILDERSBURG,AL,35044,01D0700623,2025-05-06,Compliance,0,12468,,unspecified,POL,21,physician_office,False
MEDHELP LAKESHORE PC,,2059302950,1 W LAKESHORE DRIVE SUITE 100,BIRMINGHAM,AL,35209,01D0707377,2026-03-04,Compliance,0,22468,,unspecified,POL,21,physician_office,False
"LABORATORY CORPORATION OF AMERICA HOLDINGS, INC",,3342700965,495 TAYLOR ROAD,MONTGOMERY,AL,36117,01D0709813,2025-02-06,Compliance,0,31380,,unspecified,POL,21,physician_office,False
SOUTHERN DERMATOLOGY CENTER,,2563519996,2828 HWY 31 S SUITE 105,DECATUR,AL,35603,01D0719700,2025-08-18,Compliance,0,3359,,unspecified,POL,21,physician_office,False
SOUTHERN HEMATOLOGY & ONCOLOGY PC,,2058772888,2022 BROOKWOOD MEDICAL CENTER DR  SUITE 626,BIRMINGHAM,AL,35209,01D0856514,2025-12-09,Compliance,0,37500,,unspecified,POL,21,physician_office,False
ANDALUSIA FAMILY PRACTICE,,3342228450,712 EAST THREE NOTCH STREET,ANDALUSIA,AL,36420,01D0857041,2025-03-27,Compliance,0,23302,,unspecified,POL,21,physician_office,False
AFTERHOURS CLINIC INC,,2053844585,1800 BIRMINGHAM AVE,JASPER,AL,35501,01D0862701,2025-07-22,Compliance,0,200162,,unspecified,POL,21,physician_office,False
MONTGOMERY FAMILY MEDICINE PC,,3343969100,8190 SEATON PLACE,MONTGOMERY,AL,36116,01D0873955,2025-12-04,Compliance,0,387628,,unspecified,POL,21,physician_office,False
BAY SHORE DERMATOLOGY,,2519284944,7550 ASSUNTA CT,FAIRHOPE,AL,36532,01D0888131,2025-03-05,Compliance,0,690,,unspecified,POL,21,physician_office,False
EASTERN SHORE CHILDREN'S CLINIC,,2519280624,7 MEDICAL PARK DRIVE,FAIRHOPE,AL,36532,01D0902104,2025-10-23,Compliance,0,9332,,unspecified,POL,21,physician_office,False
PANACEA O'NEILL MEDICAL GROUP,,2567724300,104 SPENRYN DR,MADISON,AL,35758,01D0902798,2026-01-28,Compliance,0,21384,,unspecified,POL,21,physician_office,False
ONCOLOGY SPECIALTIES PC,,2563275763,1 HOSPITAL DRIVE SUITE 400,HUNTSVILLE,AL,35801,01D0906061,2025-02-21,Compliance,0,306000,,unspecified,POL,21,physician_office,False
NORTH ALABAMA UROLOGY,,2567666026,3051 MALL ROAD,FLORENCE,AL,35630,01D0906067,2025-12-30,Compliance,0,5294,,unspecified,POL,21,physician_office,False
NORTH ALABAMA UROLOGY,,2565369020,825 ADAMS STREET,HUNTSVILLE,AL,35801,01D0908217,2025-04-03,Compliance,0,2787,,unspecified,POL,21,physician_office,False
"AFS, PC",,2058740000,500 WHITESPORT DR SW UNIT 4,HUNTSVILLE,AL,35801,01D0910599,2025-08-19,Compliance,0,300,,unspecified,POL,21,physician_office,False
RAPID CARE INC,,2568917001,9511 US HIGHWAY 431,ALBERTVILLE,AL,35950,01D0913612,2025-09-23,Compliance,0,58704,,unspecified,POL,21,physician_office,False
MEDHELP 280,,2054081231,4600 HIGHWAY 280 E,BIRMINGHAM,AL,35242,01D0915829,2025-10-07,Compliance,0,337992,,unspecified,POL,21,physician_office,False
"FOREFRONT DERMATOLOGY, SC",,2516313570,8573 COUNTY ROAD 64,DAPHNE,AL,36526,01D0918760,2025-06-25,Compliance,0,1313,,unspecified,POL,21,physician_office,False
MOBILE OB/GYN PC,,2516330793,6701 AIRPORT BLVD STE B-321,MOBILE,AL,36608,01D0920849,2025-05-14,Compliance,0,70477,,unspecified,POL,21,physician_office,False
CHILDRENS MEDICAL GROUP,,2516391300,610 PROVIDENCE PARK DRIVE  SUITE 201,MOBILE,AL,36695,01D0924082,2025-06-24,Compliance,0,12154,,unspecified,POL,21,physician_office,False
"ALABAMA DERMATOLOGY AND REJUVENATION CENTER, PC",,2052959415,1606 HWY 78 WEST,JASPER,AL,35501,01D0924324,2025-07-17,Compliance,0,4055,,unspecified,POL,21,physician_office,False
INFIRMARY PEDIATRICS,,2514355437,4013 AIRPORT BLVD  SUITE C,MOBILE,AL,36608,01D0930609,2025-12-03,Compliance,0,9760,,unspecified,POL,21,physician_office,False
PEDIATRIC ASSOCIATES OF MADISON,,2567722037,21 HUGHES ROAD SUITE 2,MADISON,AL,35758,01D0930787,2025-10-29,Compliance,0,35005,,unspecified,POL,21,physician_office,False
DBA ALABAMA ONCOLOGY,,2057866983,"833 PRINCETON AVENUE SW, POP III, SUITE 105A",BIRMINGHAM,AL,35211,01D0936907,2025-04-10,Compliance,0,59076,,unspecified,POL,21,physician_office,False
GASTRO CARE PC,,2053450010,"120 RICE MINE ROAD, SUITE E",TUSCALOOSA,AL,35406,01D0939989,2026-01-27,Compliance,0,2500,,unspecified,POL,21,physician_office,False
IMC - DIAGNOSTIC & MEDICAL CLINIC,,2516334949,831 C HILLCREST ROAD,MOBILE,AL,36695,01D0960185,2025-10-21,Compliance,0,47650,,unspecified,POL,21,physician_office,False
"HEART GROUP OF THE EASTERN SHORE, PC",,2519901920,4 MEDICAL PARK DRIVE,FAIRHOPE,AL,36532,01D0964997,2025-01-14,Compliance,0,400,,unspecified,POL,21,physician_office,False
LABORATORY CORPORATION OF AMERICA HOLDINGS,,2057583103,1410 MCFARLAND BLVD N,TUSCALOOSA,AL,35406,01D0966040,2026-03-05,Compliance,0,21600,,unspecified,POL,21,physician_office,False
SHARP & STONE OB/GYN,,2059334020,2700 10TH AVENUE SOUTH  SUITE 306,BIRMINGHAM,AL,35205,01D0966583,2025-07-31,Compliance,0,9958,,unspecified,POL,21,physician_office,False
SOUTHERN FAMILY HEALTH,,2056694884,201 OLD HIGHWAY 25 EAST,COLUMBIANA,AL,35051,01D0968759,2025-01-07,Compliance,0,9000,,unspecified,POL,21,physician_office,False
REGENCY LABORATORY,,2516668232,5320 HIGHWAY 90 SERVICE ROAD,MOBILE,AL,36619,01D0968763,2025-12-02,Compliance,0,75938,,unspecified,POL,21,physician_office,False
CHILTON MEDICAL ASSOCIATES,,2057555700,108 MEDICAL CENTER DRIVE,CLANTON,AL,35045,01D0977694,2025-03-11,Compliance,0,18005,,unspecified,POL,21,physician_office,False
"AFS, PC",,2058740000,356 ST LUKE'S DRIVE,MONTGOMERY,AL,36117,01D0978581,2025-02-20,Compliance,0,460,,unspecified,POL,21,physician_office,False
PRATTVILLE PEDIATRIC ASSOC,,3343617811,645 MCQUEEN SMITH RD,PRATTVILLE,AL,36066,01D0982892,2025-09-03,Compliance,0,17286,,unspecified,POL,21,physician_office,False
UAB CANCER CENTER AT RUSSELL MEDICAL,,2563297888,3446 HIGHWAY 280,ALEXANDER CITY,AL,35011,01D0986272,2025-10-01,Compliance,0,15804,,unspecified,POL,21,physician_office,False
BIRMINGHAM INTERNAL MEDICINE ASSOCIATES,,2058609256,70 PLAZA DRIVE,PELL CITY,AL,35125,01D0987260,2025-01-30,Compliance,0,208600,,unspecified,POL,21,physician_office,False
HEMATOLOGY - ONCOLOGY OF ALABAMA,,2055024700,513 BROOKWOOD BOULEVARD  SUITE 275,HOMEWOOD,AL,35209,01D0991726,2025-12-11,Compliance,0,72648,,unspecified,POL,21,physician_office,False
ALABAMA DERMATOLOGY ASSOCIATES PC,,2053451520,4410 WATERMELON ROAD,NORTHPORT,AL,35473,01D0997182,2025-02-04,Compliance,0,4981,,unspecified,POL,21,physician_office,False
BALDWIN FAMILY MEDICINE,,2516216520,21950 STATE HWY 181  SUITE A1,FAIRHOPE,AL,36532,01D1002022,2025-11-20,Compliance,0,45017,,unspecified,POL,21,physician_office,False
C A R E S,,2567411339,1325 QUINTARD AVENUE,ANNISTON,AL,36201,01D1004147,2025-01-27,Compliance,0,55392,,unspecified,POL,21,physician_office,False
CLINIC FOR RHEUMATIC DISEASES,,2057500030,"4280 WATERMELON ROAD, SUITE 112",NORTHPORT,AL,35473,01D1006772,2025-06-16,Compliance,0,157388,,unspecified,POL,21,physician_office,False
MEDHELP PELHAM,,2056202270,3170 PELHAM PARKWAY,PELHAM,AL,35124,01D1009754,2026-02-03,Compliance,0,15479,,unspecified,POL,21,physician_office,False
PUROHIT PEDIATRIC CLINIC,,2567419799,516 QUINTARD AVENUE,ANNISTON,AL,36201,01D1011038,2025-09-18,Compliance,0,22250,,unspecified,POL,21,physician_office,False
BROOKWOOD DERMATOLOGY,,2058244441,521 MONTGOMERY HIGHWAY,VESTAVIA HILLS,AL,35216,01D1012050,2026-02-11,Compliance,0,717,,unspecified,POL,21,physician_office,False
SOUTHERN CANCER CENTER PC,,2516256896,3719 DAUPHIN STREET 1ST FLOOR,MOBILE,AL,36608,01D1012799,2025-12-18,Compliance,0,190365,,unspecified,POL,21,physician_office,False
CULLMAN ONCOLOGY & HEMATOLOGY,,2562552500,1750 ALABAMA HWY 157,CULLMAN,AL,35058,01D1013293,2025-10-02,Compliance,0,20859,,unspecified,POL,21,physician_office,False
SOUTHLAKE PEDIATRICS,,2059822500,5000 SOUTHLAKE PARKWAY  SUITE 250,BIRMINGHAM,AL,35244,01D1015208,2026-01-21,Compliance,0,23340,,unspecified,POL,21,physician_office,False
ONCOLOGY SPECIALTIES PC,,2567054208,1107 14TH AVE SE,DECATUR,AL,35601,01D1042923,2025-02-21,Compliance,0,340000,,unspecified,POL,21,physician_office,False
TUSCALOOSA MED CENTER NORTH PC,,2053331993,3909 MCFARLAND BLVD,NORTHPORT,AL,35476,01D1057197,2025-03-19,Compliance,0,12124,,unspecified,POL,21,physician_office,False
"DERMATOLOGY & SKIN CARE CENTER OF BIRMINGHAM, THE",,2059783336,2470 ROCKY RIDGE ROAD SUITE 100,BIRMINGHAM,AL,35243,01D1058017,2025-12-11,Compliance,0,1300,,unspecified,POL,21,physician_office,False
PRIME MED,,3347741555,1970 ANDREWS AVENUE,OZARK,AL,36360,01D1058440,2025-11-05,Compliance,0,6200,,unspecified,POL,21,physician_office,False
MIDDLE CREEK MEDICAL CENTER,,2054773737,4810 BELL HILL ROAD,BESSEMER,AL,35022,01D1063889,2025-07-31,Compliance,0,20266,,unspecified,POL,21,physician_office,False
AFTER HOURS CLINIC SUMITON,,2056480240,292 BRYAN ROAD,SUMITON,AL,35148,01D1064250,2025-09-16,Compliance,0,45054,,unspecified,POL,21,physician_office,False
"WHITFIELD REGIONAL HOSPITAL, CANCER CARE CENTER",,3342872644,105 US HWY 80 EAST,DEMOPOLIS,AL,36732,01D1069264,2025-10-09,Compliance,0,17586,,unspecified,POL,21,physician_office,False
RAINBOW PEDIATRICS,,2564422898,280 KIDS WAY,RAINBOW CITY,AL,35906,01D1070848,2025-10-28,Compliance,0,26646,,unspecified,POL,21,physician_office,False
C A R E S OXFORD,,2568350076,256 OXFORD EXCHANGE BLVD,OXFORD,AL,36203,01D1076515,2026-02-24,Compliance,0,54495,,unspecified,POL,21,physician_office,False
EASTERN SHORE URGENT CARE,,2516263782,29710 URGENT CARE DRIVE,DAPHNE,AL,36526,01D1084498,2026-01-22,Compliance,0,9220,,unspecified,POL,21,physician_office,False
IMMEDIATE CARE OF THE SOUTH,,2513002770,4270 COTTAGE HILL ROAD,MOBILE,AL,36609,01D1091355,2025-01-16,Compliance,0,7838,,unspecified,POL,21,physician_office,False
AQUA DERMATOLOGY OF ALABAMA PC,,2059779876,"1940 STONEGATE DRIVE, SUITE 130",VESTAVIA HILLS,AL,35242,01D1092927,2025-06-04,Compliance,0,6000,,unspecified,POL,21,physician_office,False
"PM HEALTHCARE, LLC",,2562311231,701 LEIGHTON AVENUE,ANNISTON,AL,36207,01D1093966,2025-09-17,Compliance,0,116620,,unspecified,POL,21,physician_office,False
SHOALS PRIMARY CARE,,2563834473,342 COX BLVD,SHEFFIELD,AL,35660,01D1106308,2025-04-09,Compliance,0,350500,,unspecified,POL,21,physician_office,False
WETUMPKA URGENT CARE,,3345678633,11 CAMBRIDGE DRIVE,WETUMPKA,AL,36093,01D2006401,2025-07-15,Compliance,0,1926,,unspecified,POL,21,physician_office,False
SEIB WELLNESS CENTER LAB,,3342638470,101 SOUTH UNION STREET,MONTGOMERY,AL,36104,01D2009563,2025-05-29,Compliance,0,1784,,unspecified,POL,21,physician_office,False
DERMATOLOGY OF NORTH ALABAMA INC,,2565718770,2307 HOMER CLAYTON DRIVE,GUNTERSVILLE,AL,35976,01D2011166,2025-11-05,Compliance,0,1054,,unspecified,POL,21,physician_office,False
VALLEY PAIN CLINIC,,2563019994,2208 DANVILLE RD  ST G,DECATUR,AL,35601,01D2017133,2025-07-23,Compliance,0,30270,,unspecified,POL,21,physician_office,False
CHAMNONG FAMILY MEDICINE,,3342398939,8300 CROSSLAND LOOP,MONTGOMERY,AL,36117,01D2017717,2025-06-17,Compliance,0,33000,,unspecified,POL,21,physician_office,False
AQUA DERMATOLOGY OF ALABAMA PC,,2059779876,1401 EDWARDS LAKE ROAD,BIRMINGHAM,AL,35235,01D2018153,2025-11-12,Compliance,0,1500,,unspecified,POL,21,physician_office,False
LABORATORY CORPORATION OF AMERICA HOLDING,,3345850862,615 OZARK ROAD,ABBEVILLE,AL,36310,01D2018953,2025-07-16,Compliance,0,2189,,unspecified,POL,21,physician_office,False
BIRMINGHAM HEMATOLOGY AND ONCOLOGY,,2056241636,1024 1ST STREET NORTH,ALABASTER,AL,35007,01D2019274,2025-06-04,Compliance,0,51500,,unspecified,POL,21,physician_office,False
"ONCOLOGY SPECIALISTS, PC",,2567054207,1310 14TH AVENUE SE,DECATUR,AL,35601,01D2019775,2025-08-12,Compliance,0,250000,,unspecified,POL,21,physician_office,False
SUNRISE DERMATOLOGY LLC,,2512891786,70 MIDTOWN PARK EAST,MOBILE,AL,36606,01D2024609,2025-12-17,Compliance,0,3792,,unspecified,POL,21,physician_office,False
"SOUTHEASTERN DERMATOLOGY GROUP, P A",,8502524401,106 WESTSIDE DRIVE,DOTHAN,AL,36303,01D2028951,2026-01-07,Compliance,0,100,,unspecified,POL,21,physician_office,False
"COMPASS URGENT CARE, LLC",,2516332273,9985 AIRPORT BLVD,MOBILE,AL,36608,01D2029146,2025-05-13,Compliance,0,6475,,unspecified,POL,21,physician_office,False
VAUGHN FAMILY CARE LLC,,3343959933,9540 WYNLAKES PLACE,MONTGOMERY,AL,36117,01D2029867,2026-02-10,Compliance,0,4510,,unspecified,POL,21,physician_office,False
OXFORD PRIMARY CARE,,2568328802,96 ALI WAY,OXFORD,AL,36203,01D2039306,2025-01-09,Compliance,0,77342,,unspecified,POL,21,physician_office,False
PUROHIT PEDIATRIC CLINIC ROANOKE,,3348632553,"4441 HIGHWAY 431, SUITE 1",ROANOKE,AL,36274,01D2044942,2025-08-26,Compliance,0,1220,,unspecified,POL,21,physician_office,False
SOUTHEASTERN SKIN CANCER & DERMATOLOGY,,2567053000,104J E BRISCOE WAY,MADISON,AL,35758,01D2045609,2025-03-20,Compliance,0,1088,,unspecified,POL,21,physician_office,False
SOUTHERN SKIES DERMATOLOGY & SURGERY,,2058381811,48 MEDICAL PARK DRIVE EAST  SUITE 458,BIRMINGHAM,AL,35235,01D2046579,2025-08-21,Compliance,0,3000,,unspecified,POL,21,physician_office,False
IMMEDIATE CARE FOLEY,,2519234633,1265 SOUTH MCKENZIE STREET,FOLEY,AL,36535,01D2055268,2025-11-19,Compliance,0,3500,,unspecified,POL,21,physician_office,False
MEDHELP TRUSSVILLE,,2055473920,5915 CHALKVILLE MOUNTAIN RD  SUITE 100,BIRMINGHAM,AL,35235,01D2056419,2026-03-05,Compliance,0,59046,,unspecified,POL,21,physician_office,False
NEUROMUSCULAR SPINE AND JOINT CENTER,,2516335155,"6720 GRELOT ROAD, SUITE A",MOBILE,AL,36695,01D2074675,2025-03-04,Compliance,0,4000,,unspecified,POL,21,physician_office,False
SOUTHERN SKIES DERMATOLOGY & SURGERY,,2058381811,"300 MEDICAL CENTER DRIVE, SUITE 402",GADSDEN,AL,35903,01D2076774,2025-04-17,Compliance,0,3000,,unspecified,POL,21,physician_office,False
ADVANCED DERMATOLGY AND SKIN CARE CENTRE,,2516313570,580 PROVIDENCE PARK DR E,MOBILE,AL,36695,01D2088250,2025-06-25,Compliance,0,2800,,unspecified,POL,21,physician_office,False
DERMATOLOGY ASSOCIATES/DOTHAN LAB,,3346997546,"1733 WEST MAIN STREET, SUITE 500",DOTHAN,AL,36301,01D2089501,2025-06-10,Compliance,0,1200,,unspecified,POL,21,physician_office,False
FAMILY MEDICAL ASSOCIATES WEST,,2054893322,26279 HWY 195,DOUBLE SPRINGS,AL,35553,01D2099823,2026-02-25,Compliance,0,48000,,unspecified,POL,21,physician_office,False
GULF COAST INTERVENTIONAL SPINE & JOINT SPECIALIST,,2514784900,1557 SPRING HILL AVE,MOBILE,AL,36604,01D2101760,2025-12-16,Compliance,0,11851,,unspecified,POL,21,physician_office,False
NAAMAN CLINIC LLC,,2054534195,1401 EDWARDS LAKE ROAD,BIRMINGHAM,AL,35235,01D2109320,2025-02-28,Compliance,0,240,,unspecified,POL,21,physician_office,False
NAAMAN CLINIC,,2054534195,1720 UNIVERSITY BLVD  SUITE H201,BIRMINGHAM,AL,35233,01D2109328,2025-03-07,Compliance,0,100,,unspecified,POL,21,physician_office,False
TRUE DERMATOLOGY,,2056242100,1320 WOODFIN LANE,CLANTON,AL,35045,01D2111639,2025-03-12,Compliance,0,1200,,unspecified,POL,21,physician_office,False
EXPERCARE FAYETTE,,2059327777,122 17TH COURT NE,FAYETTE,AL,35555,01D2113162,2025-08-29,Compliance,0,8055,,unspecified,POL,21,physician_office,False
CAHABA PAIN AND SPINE CARE,,2052089001,2010 PATTON CHAPEL ROAD  SUITE 200,HOOVER,AL,35216,01D2115349,2025-07-10,Compliance,0,29456,,unspecified,POL,21,physician_office,False
NASH DERMATOLOGY LLC,,3345398049,1935 EAST GLENN AVE  SUITE 101,AUBURN,AL,36830,01D2123092,2025-09-11,Compliance,0,4600,,unspecified,POL,21,physician_office,False
BIRMINGHAM INTERNAL MEDICINE ASSOCIATES LLC,,2054676919,480 WALKER DRIVE,SPRINGVILLE,AL,35146,01D2124641,2025-07-16,Compliance,0,3500,,unspecified,POL,21,physician_office,False
BIRMINGHAM INTERNAL MEDICINE ASSOCIATES LLC,,2056553721,"7201 HAPPY HOLLOW ROAD, SUITE 101",TRUSSVILLE,AL,35173,01D2124642,2026-01-07,Compliance,0,3000,,unspecified,POL,21,physician_office,False
EXPERCARE- NORTH RIVER,,2053339467,4960 RICE MINE ROAD NE SUITE 10,TUSCALOOSA,AL,35406,01D2126498,2025-07-29,Compliance,0,7100,,unspecified,POL,21,physician_office,False
AQUA DERMATOLOGY OF ALABAMA PC,,2059779876,2431 WEST MAIN STREET  SUITE 501,DOTHAN,AL,36301,01D2129536,2025-08-13,Compliance,0,1500,,unspecified,POL,21,physician_office,False
RESTORATION HEALTH OF SOUTH ALABAMA,,2516620732,30762 STATE HWY 181,SPANISH FORT,AL,36527,01D2142591,2025-01-17,Compliance,0,28200,,unspecified,POL,21,physician_office,False
"ONCOLOGY SPECIALTIES, PC",,2567054208,"180 S COX CREEK PKWY, SUITE B",FLORENCE,AL,35630,01D2151587,2025-02-19,Compliance,0,246000,,unspecified,POL,21,physician_office,False
LIBERTY MOUNTAIN PEDIATRICS,,2057091650,"4600 HWY 280 S, SUITE 103",BIRMINGHAM,AL,35242,01D2154250,2025-01-08,Compliance,0,3215,,unspecified,POL,21,physician_office,False
"ONCOLOGY SPECIALTIES, PC",,2052828630,3500 HWY 78 E,JASPER,AL,35501,01D2156734,2025-03-25,Compliance,0,113000,,unspecified,POL,21,physician_office,False
"ONCOLOGY SPECIALTIES, PC",,2566156753,CULLMAN POB 1  1948 HWY 157  STE 380,CULLMAN,AL,35058,01D2156894,2025-03-06,Compliance,0,67100,,unspecified,POL,21,physician_office,False
SUNRISE DERMATOLOGY,,2512891786,8832 US HWY 90,DAPHNE,AL,36526,01D2159481,2025-09-10,Compliance,0,164,,unspecified,POL,21,physician_office,False
TENNESSEE RIVER DERMATOLOGY,,2562332000,220 FRENCH FARMS BLVD STE C,ATHENS,AL,35611,01D2162263,2026-01-08,Compliance,0,500,,unspecified,POL,21,physician_office,False
LABORATORY CORPORATIONS OF AMERICA HOLDINGS,,3342714249,300 ST LUKES DRIVE,MONTGOMERY,AL,36117,01D2162272,2025-07-15,Compliance,0,13540,,unspecified,POL,21,physician_office,False
LABORATORY CORPORATIONS OF AMERICA HOLDINGS,,2563694088,209 WEST SPRING STREET  SUITE 200A,SYLACAUGA,AL,35150,01D2165040,2025-10-28,Compliance,0,18216,,unspecified,POL,21,physician_office,False
