Lab ID,Tier,Score,Cohort,Sources,Primary reason,All signals,Facility name,DBA / Alt name,Website (verified),Domain registered,Domain age (days),Address,Address line 2,City,State,ZIP,Phone,Fax,CLIA #,CLIA facility type,CLIA cert type,Accreditations,CLIA original part. date,Days since CLIA launch,Annual test volume,CLIA CHOW count,NPI,NPPES org name,NPI taxonomy,NPI enumeration date,Days since NPI,Medicare type,Medicare ENRLMT ID,Contact first,Contact last,Contact title,Contact phone
C15D2339926,S+,115,A_fresh_le_6mo,CN,"CLIA + NPI, no Medicare — bullseye: licensed + billing-ready, pre-Medicare-paperwork","CMB_CN_NO_M, C-1_ORGNL_LE_3MO, Q-REGISTRATION, N-1_NPI_LAB_TAX_MATCH, A-1_REAL_MEDICAL",CROSSROADSLABS LLC,,,,,"513 RIDGE RD, SUITE 3",,MUNSTER,IN,46321,(872) 375-8142,,15D2339926,Independent / Reference Lab,Registration,,2026-03-10,63,500,0,1225984206,CROSSROADSLABS LLC,291U00000X,2026-03-10,63,,,UNKOWN,MOHAMMED SHAIBAZ,OWNER,8723758142
C10D2339550,S+,115,A_fresh_le_6mo,CN,"CLIA + NPI, no Medicare — bullseye: licensed + billing-ready, pre-Medicare-paperwork","CMB_CN_NO_M, C-1_ORGNL_LE_3MO, Q-REGISTRATION, N-1_NPI_LAB_TAX_MATCH, A-1_REAL_MEDICAL",CORNERSTONE DX LLC,,,,,516 LAKEVIEW RD SUITE 7,,CLEARWATER,FL,33756,(727) 632-2988,(866) 574-5374,10D2339550,Independent / Reference Lab,Registration,,2026-03-04,69,3000,0,1023945078,CORNERSTONE DX LLC.,291U00000X,2026-05-05,7,,,MITCHELL,PANTELIDES,OWNER,7274591479
C10D2332597,S+,115,B_6_to_12mo,CN,"CLIA + NPI, no Medicare — bullseye: licensed + billing-ready, pre-Medicare-paperwork","CMB_CN_NO_M, C-3_ORGNL_LE_12MO, Q-REGISTRATION, N-1_NPI_LAB_TAX_MATCH, S-1_STANDALONE",LUNAR LABORATORIES LLC,,,,,7805 SW ELLIPSE WAY SUITE A19,,STUART,FL,34997,(561) 288-8550,,10D2332597,Independent / Reference Lab,Registration,,2025-10-22,202,0,0,1033085816,LUNAR LABORATORIES LLC,291U00000X,2025-10-16,208,,,ANDREAS,MBAH,REGISTERED AGENT,3479886436
C03D2332019,S+,115,B_6_to_12mo,CN,"CLIA + NPI, no Medicare — bullseye: licensed + billing-ready, pre-Medicare-paperwork","CMB_CN_NO_M, C-3_ORGNL_LE_12MO, Q-REGISTRATION, N-1_NPI_LAB_TAX_MATCH, S-1_STANDALONE",SYBRO DIAGNOSTICS,,,,,10443 N CAVE CREEK RD STE 105,,PHOENIX,AZ,85020,(518) 920-8282,,03D2332019,Independent / Reference Lab,Registration,,2025-10-13,211,5000,0,1649136839,SYBRO DIAGNOSTICS LLC,291U00000X,2025-12-31,132,,,SYED IMRAN ALI,SHAH,OWNER,5189208282
C23D2327335,S+,115,B_6_to_12mo,CN,"CLIA + NPI, no Medicare — bullseye: licensed + billing-ready, pre-Medicare-paperwork","CMB_CN_NO_M, C-3_ORGNL_LE_12MO, Q-REGISTRATION, N-1_NPI_LAB_TAX_MATCH, S-1_STANDALONE",BEYOND PROFESSIONAL PATHOLOGY,,,,,44400 VAN DYKE AVENUE SUITE 102 A,,STERLING HEIGHTS,MI,48314,(248) 818-4925,,23D2327335,Independent / Reference Lab,Registration,,2025-07-22,294,0,0,1659240158,BEYOND PROFESSIONAL PATHOLOGY PLLC,291U00000X,2025-11-03,190,,,ROBERT,MANSI,DIRECTOR OF OPERATIONS,2488184925
C50D2339868,S+,110,A_fresh_le_6mo,C,"CLIA only — green field, no NPI/Medicare yet (could be very early or filing-light)","CMB_C_ONLY, C-1_ORGNL_LE_3MO, Q-COMPLIANCE, N-3_NPI_NONE",OLYMPIA ARTHRITIS AND REHABILITATION CLINIC,,https://summitrheumatology.com/washington/locations/olympia/,2022-06-19,1423,1212 HARRISON AVE NW,,OLYMPIA,WA,98502,(360) 754-6700,(360) 357-2202,50D2339868,Physician Office Lab,Compliance,,2026-03-09,64,8400,0,,,,,,,,,,,
C50D2339267,S+,110,A_fresh_le_6mo,C,"CLIA only — green field, no NPI/Medicare yet (could be very early or filing-light)","CMB_C_ONLY, C-1_ORGNL_LE_3MO, Q-COMPLIANCE, N-3_NPI_NONE",CASCADE PATHOLOGY SERVICES - TACOMA,,,,,"315 MARTIN LUTHER KING JR WAY, 4TH FLOOR PATHOLOGY",,TACOMA,WA,98405,(253) 403-1043,(253) 403-1357,50D2339267,Independent / Reference Lab,Compliance,,2026-02-26,75,47675,0,,,,,,,,,,,
C50D2339163,S+,110,A_fresh_le_6mo,C,"CLIA only — green field, no NPI/Medicare yet (could be very early or filing-light)","CMB_C_ONLY, C-1_ORGNL_LE_3MO, Q-COMPLIANCE, N-3_NPI_NONE",CASCADE PATHOLOGY SERVICES - ALLENMORE,,,,,1901 S UNION AVE 19U-H1-LAB,,TACOMA,WA,98405,(253) 459-6334,(253) 459-6203,50D2339163,Independent / Reference Lab,Compliance,,2026-02-24,77,12050,0,,,,,,,,,,,
C50D2338650,S+,110,A_fresh_le_6mo,C,"CLIA only — green field, no NPI/Medicare yet (could be very early or filing-light)","CMB_C_ONLY, C-1_ORGNL_LE_3MO, Q-COMPLIANCE, N-3_NPI_NONE",CLEAR CHOICE DERMATOLOGY,,https://www.clearchoicederm.com/schedule/appointment/port-angeles,2021-01-24,1934,602 E FRONT ST,,PORT ANGELES,WA,98362,(360) 200-0499,(541) 210-8913,50D2338650,Physician Office Lab,Compliance,,2026-02-13,88,500,0,,,,,,,,,,,
C34D2336641,S+,110,A_fresh_le_6mo,CN,"CLIA + NPI, no Medicare — bullseye: licensed + billing-ready, pre-Medicare-paperwork","CMB_CN_NO_M, C-2_ORGNL_LE_6MO, Q-REGISTRATION, N-1_NPI_LAB_TAX_MATCH, A-1_REAL_MEDICAL","ASHEVILLE PATHOLOGY PARTNERS, LLC",,https://www.ashevillepathology.com/,2024-12-23,505,142 AIRPORT ROAD SUITES I & J,,ARDEN,NC,28704,(912) 239-4235,,34D2336641,Independent / Reference Lab,Registration,,2026-01-07,125,300,0,1003761081,"ASHEVILLE PATHOLOGY PARTNERS, LLC",291U00000X,2026-03-04,69,,,SUNIL,CHANDRAS,PRESIDENT,4784427990
C05D2339344,S+,110,A_fresh_le_6mo,CN,"CLIA + NPI, no Medicare — bullseye: licensed + billing-ready, pre-Medicare-paperwork","CMB_CN_NO_M, C-1_ORGNL_LE_3MO, Q-REGISTRATION, N-1_NPI_LAB_TAX_MATCH, W-2_DOMAIN_LT_12MO","MATRIGENE LABORATORIES, INC",,https://matrigene.com/,2025-09-11,243,6618 SAN FERNANDO RD,,GLENDALE,CA,91201,(818) 658-2122,(818) 403-3386,05D2339344,Independent / Reference Lab,Registration,,2026-02-27,74,48000,0,1255288098,MATRIGENE LABORATORIES INC,291U00000X,2026-03-11,62,,,ANASTASIIA,GASPRIAN,CEO,8186582122
C05D2339162,S,105,A_fresh_le_6mo,CN,"CLIA + NPI, no Medicare — bullseye: licensed + billing-ready, pre-Medicare-paperwork","CMB_CN_NO_M, C-1_ORGNL_LE_3MO, Q-REGISTRATION, N-1_NPI_LAB_TAX_MATCH",BIOLOGY LAB INC,,,,,1720 COLORADO BLVD,,LOS ANGELES,CA,90041,(323) 643-5555,(323) 673-5555,05D2339162,Independent / Reference Lab,Registration,,2026-02-24,77,36000,0,1316887227,BIOLOGY LAB INC,291U00000X,2026-03-30,43,,,AHSAN,BASEER,TECHNICAL SUPERVISOR,7144931224
C36D2339037,S,105,A_fresh_le_6mo,CN,"CLIA + NPI, no Medicare — bullseye: licensed + billing-ready, pre-Medicare-paperwork","CMB_CN_NO_M, C-1_ORGNL_LE_3MO, Q-REGISTRATION, N-1_NPI_LAB_TAX_MATCH","CHOICE HEALTHCARE LABORATORY SERVICES, LLC",,,,,46850 DUTCH LANE ST,,ST CLAIRSVILLE,OH,43950,(740) 573-9572,(740) 391-4341,36D2339037,Independent / Reference Lab,Registration,,2026-02-23,78,0,0,1881550044,CHOICE HEALTHCARE LABORATORY SERVICES LLC,291U00000X,2025-12-31,132,,,HAROLD,RAMSEY,MANAGING MEMBER,3472420420
C50D2338427,S,105,A_fresh_le_6mo,C,"CLIA only — green field, no NPI/Medicare yet (could be very early or filing-light)","CMB_C_ONLY, C-2_ORGNL_LE_6MO, Q-COMPLIANCE, N-3_NPI_NONE",BELMAR CARDIOPULMONARY DIAGNOSTICS CENTER,,https://www.bcdctesting.com,2023-07-01,1046,520 112TH AVE NE STE 110,,BELLEVUE,WA,98004,(253) 256-2809,(253) 256-2857,50D2338427,Independent / Reference Lab,Compliance,,2026-02-10,91,250,0,,,,,,,,,,,
C50D2337475,S,105,A_fresh_le_6mo,C,"CLIA only — green field, no NPI/Medicare yet (could be very early or filing-light)","CMB_C_ONLY, C-2_ORGNL_LE_6MO, Q-COMPLIANCE, N-3_NPI_NONE",INCYTE PATHOLOGY - AUBURN MEDICAL CENTER BRANCH,,,,,202 N DIVISION ST. - INCYTE SUITE,,AUBURN,WA,98001,(253) 545-2699,(509) 892-2740,50D2337475,Independent / Reference Lab,Compliance,,2026-01-23,109,200,0,,,,,,,,,,,
C50D2337480,S,105,A_fresh_le_6mo,C,"CLIA only — green field, no NPI/Medicare yet (could be very early or filing-light)","CMB_C_ONLY, C-2_ORGNL_LE_6MO, Q-COMPLIANCE, N-3_NPI_NONE",INCYTE PATHOLOGY - GOOD SAMARITAN HOSPITAL BRANCH,,,,,401 15TH AVE SE,,PUYALLUP,WA,98372,(253) 697-2630,(509) 892-2740,50D2337480,Independent / Reference Lab,Compliance,,2026-01-23,109,30000,0,,,,,,,,,,,
C50D2336332,S,105,A_fresh_le_6mo,C,"CLIA only — green field, no NPI/Medicare yet (could be very early or filing-light)","CMB_C_ONLY, C-2_ORGNL_LE_6MO, Q-COMPLIANCE, N-3_NPI_NONE",SWISHER LAB FOR GYNECOLOGIC CANCER RESEARCH,,https://www.swisherlab.org/,2023-11-01,923,1705 NE PACIFIC ST BOX 356460,,SEATTLE,WA,98195,(206) 616-8330,,50D2336332,Independent / Reference Lab,Compliance,,2025-12-30,133,500,0,,,,,,,,,,,
C11D2335118,S,105,B_6_to_12mo,CN,"CLIA + NPI, no Medicare — bullseye: licensed + billing-ready, pre-Medicare-paperwork","CMB_CN_NO_M, C-2_ORGNL_LE_6MO, Q-REGISTRATION, N-1_NPI_LAB_TAX_MATCH, A-3_MULTI_TENANT_NON_MEDICAL, S-1_STANDALONE",SUMMIT CLINICAL LABORATORY INC,,,,,"1565 WOODINGTON CIRCLE, SUITE 103",,LAWRENCEVILLE,GA,30044,(888) 927-7940,(678) 682-7664,11D2335118,Independent / Reference Lab,Registration,,2025-12-05,158,2000,0,1922977263,SUMMIT CLINICAL LABORTARY INC,291U00000X,2025-11-04,189,,,MAHITH,DEVATHI,PRESIDENT,2174945752
C50D2335136,S,105,A_fresh_le_6mo,C,"CLIA only — green field, no NPI/Medicare yet (could be very early or filing-light)","CMB_C_ONLY, C-2_ORGNL_LE_6MO, Q-COMPLIANCE, N-3_NPI_NONE",INCYTE PATHOLOGY - RICHLAND BRANCH,,,,,221 WELLSIAN WAY,,RICHLAND,WA,99352,(509) 508-4519,,50D2335136,Independent / Reference Lab,Compliance,,2025-12-05,158,4000,0,,,,,,,,,,,
C50D2335139,S,105,A_fresh_le_6mo,C,"CLIA only — green field, no NPI/Medicare yet (could be very early or filing-light)","CMB_C_ONLY, C-2_ORGNL_LE_6MO, Q-COMPLIANCE, N-3_NPI_NONE",INCYTE PATHOLOGY - SPOKANE VALLEY BRANCH,,https://www.incytediagnostics.com/patient-services/patient-locations/,2013-01-17,4863,13103 E MANSFIELD AVE,,SPOKANE VALLEY,WA,99216,(509) 508-4519,,50D2335139,Independent / Reference Lab,Compliance,,2025-12-05,158,32000,0,,,,,,,,,,,
C50D2335140,S,105,A_fresh_le_6mo,C,"CLIA only — green field, no NPI/Medicare yet (could be very early or filing-light)","CMB_C_ONLY, C-2_ORGNL_LE_6MO, Q-COMPLIANCE, N-3_NPI_NONE",INCYTE PATHOLOGY - TUKWILA BRANCH,,,,,2811 S 102ND ST STE 170,,TUKWILA,WA,98168,(509) 508-4519,,50D2335140,Independent / Reference Lab,Compliance,,2025-12-05,158,4000,0,,,,,,,,,,,
C33D2334703,S,105,A_fresh_le_6mo,C,"CLIA only — green field, no NPI/Medicare yet (could be very early or filing-light)","CMB_C_ONLY, C-2_ORGNL_LE_6MO, Q-COMPLIANCE, N-3_NPI_NONE",NYU LANGONE HEALTH - PENN DISTRICT LABORATORY,,https://nyulangone.org/locations/nyu-langone-medical-associates-penn-district,2008-05-02,6584,"360 W 31ST ST, 3RD FL, RM 331",,NEW YORK,NY,10001,(212) 263-5471,,33D2334703,Independent / Reference Lab,Compliance,,2025-12-01,162,1,0,,,,,,,,,,,
C33D2334608,S,105,A_fresh_le_6mo,C,"CLIA only — green field, no NPI/Medicare yet (could be very early or filing-light)","CMB_C_ONLY, C-2_ORGNL_LE_6MO, Q-COMPLIANCE, N-3_NPI_NONE",MOUNT SINAI DERMATOPATHOLOGY LABORATORY,,https://www.mountsinai.org/care/dermatology/services/dermatopathology,1996-02-23,11036,"533 W 57TH ST, 6TH FL, STE B",,NEW YORK,NY,10019,(646) 493-1588,(646) 493-1773,33D2334608,Independent / Reference Lab,Compliance,,2025-11-25,168,1,0,,,,,,,,,,,
C45D2333748,S,105,B_6_to_12mo,CN,"CLIA + NPI, no Medicare — bullseye: licensed + billing-ready, pre-Medicare-paperwork","CMB_CN_NO_M, C-3_ORGNL_LE_12MO, Q-REGISTRATION, N-1_NPI_LAB_TAX_MATCH, A-3_MULTI_TENANT_NON_MEDICAL, S-1_STANDALONE, W-2_DOMAIN_LT_12MO",NOVAGEN CLINICAL LAB INC,,https://www.novagendx.com/,2025-10-04,220,11104 W AIRPORT BLVD STE 121,,STAFFORD,TX,77477,(346) 871-7332,(346) 980-4685,45D2333748,Independent / Reference Lab,Registration,,2025-11-10,183,0,0,1063380988,NOVAGEN CLINICAL LAB INC.,291U00000X,2025-10-24,200,,,NAJEEB,AHMED,PRESIDENT,3468717332
C40D2329974,S,105,B_6_to_12mo,CNM,ORGNL_PRTCPTN_DT ≤ 12 months,"C-3_ORGNL_LE_12MO, Q-COMPLIANCE, N-1_NPI_LAB_TAX_MATCH",LABORATORIO CLINICO BIENESTAR,,,,,CARR 2 KM 68 HM 9 BO SANTANA,,ARECIBO,PR,00612,(787) 306-7776,,40D2329974,Independent / Reference Lab,Compliance,,2025-09-09,245,5600,0,1801689492,LABORATORIO CLINICO BIENESTAR CORP.,291U00000X,2025-05-27,350,PART B SUPPLIER - INDEPENDENT CLINICAL LABORATORY,O20251201003089,GISSELLE,SANTIAGO,PRESIDENT,7873067776
C45D2338369,S,100,A_fresh_le_6mo,CN,"CLIA + NPI, no Medicare — bullseye: licensed + billing-ready, pre-Medicare-paperwork","CMB_CN_NO_M, C-2_ORGNL_LE_6MO, Q-REGISTRATION, N-1_NPI_LAB_TAX_MATCH",BIOGEN LAB TX LLC,,,,,2631 GATTIS SCHOOL RD BLDG 4 SUITE 450,,ROUND ROCK,TX,78664,(954) 204-3977,,45D2338369,Independent / Reference Lab,Registration,,2026-02-10,91,3000,0,1528921525,BIOGEN LAB TX LLC,291U00000X,2025-12-05,158,,,ASIM,SAIF,OWNER,2244408966
C03D2337862,S,100,A_fresh_le_6mo,CN,"CLIA + NPI, no Medicare — bullseye: licensed + billing-ready, pre-Medicare-paperwork","CMB_CN_NO_M, C-2_ORGNL_LE_6MO, Q-REGISTRATION, N-1_NPI_LAB_TAX_MATCH","CELLNETIX PATHOLOGY, PLLC",,https://cellnetix.com/divisions/arizona/,2005-07-05,7616,"1601 W ST MARY'S RD, PATHOLOGY DEPARTMENT",,TUCSON,AZ,85745,(206) 576-6050,(206) 215-5935,03D2337862,Independent / Reference Lab,Registration,,2026-01-30,102,34653,0,1407715113,"CELLNETIX LABS, LLC",291U00000X,2026-01-19,113,,,BYRON,KAERSTNER,CAO,2536781357
C10D2337214,S,100,A_fresh_le_6mo,CN,"CLIA + NPI, no Medicare — bullseye: licensed + billing-ready, pre-Medicare-paperwork","CMB_CN_NO_M, C-2_ORGNL_LE_6MO, Q-REGISTRATION, N-1_NPI_LAB_TAX_MATCH",REVIVE GENETICS LLC,,,,,9000 SW 152TH STREET SUITE 107,,PALMETTO BAY,FL,33157,(786) 250-3419,(786) 250-3474,10D2337214,Independent / Reference Lab,Registration,,2026-01-20,112,17290,0,1083568703,REVIVE GENETICS LLC,291U00000X,2026-02-21,80,,,FARZANEH,MODARRESI,OWNER,7862503419
C19D2336704,S,100,A_fresh_le_6mo,CN,"CLIA + NPI, no Medicare — bullseye: licensed + billing-ready, pre-Medicare-paperwork","CMB_CN_NO_M, C-2_ORGNL_LE_6MO, Q-REGISTRATION, N-1_NPI_LAB_TAX_MATCH",SIX POINT LABORATORY,,,,,738 CELEBRITY DR,,RUSTON,LA,71270,(318) 237-6572,,19D2336704,Independent / Reference Lab,Registration,,2026-01-08,124,0,0,1073478590,SIX POINT CONSULTING LLC,291U00000X,2025-12-17,146,,,DONOVAN,SHULTZ,CEO / OWNER,3182376572
C19D2336706,S,100,A_fresh_le_6mo,CN,"CLIA + NPI, no Medicare — bullseye: licensed + billing-ready, pre-Medicare-paperwork","CMB_CN_NO_M, C-2_ORGNL_LE_6MO, Q-REGISTRATION, N-1_NPI_LAB_TAX_MATCH",SIX POINT LABORATORY,,,,,1322 ELTON ROAD SUITE M,,JENNINGS,LA,70546,(318) 237-6572,,19D2336706,Independent / Reference Lab,Registration,,2026-01-08,124,0,0,1073478590,SIX POINT CONSULTING LLC,291U00000X,2025-12-17,146,,,DONOVAN,SHULTZ,CEO / OWNER,3182376572
C14D2336391,S,100,A_fresh_le_6mo,CN,"CLIA + NPI, no Medicare — bullseye: licensed + billing-ready, pre-Medicare-paperwork","CMB_CN_NO_M, C-2_ORGNL_LE_6MO, Q-REGISTRATION, N-1_NPI_LAB_TAX_MATCH",RUSH LAB LLC,,,,,3525 W PETERSON AVE - STE 113,,CHICAGO,IL,60659,(773) 313-5065,,14D2336391,Independent / Reference Lab,Registration,,2026-01-02,130,0,0,1144173832,RUSH LAB LLC,291U00000X,2026-02-20,81,,,WAQAS,MIRZA,MANAGING DIRECTOR,3125204582
C23D2335617,S,100,A_fresh_le_6mo,CN,"CLIA + NPI, no Medicare — bullseye: licensed + billing-ready, pre-Medicare-paperwork","CMB_CN_NO_M, C-2_ORGNL_LE_6MO, Q-REGISTRATION, N-1_NPI_LAB_TAX_MATCH",INSTALAB DX INC,,https://instalabdx.com/contact/,2025-09-26,228,29430 FORD ROAD,,GARDEN CITY,MI,48135,(313) 979-0792,,23D2335617,Independent / Reference Lab,Registration,,2025-12-15,148,0,0,1477412302,INSTALAB DX INC,291U00000X,2026-01-16,116,,,FADLALLAH,KASSEM,OWNER,3139790792
C23D2335273,S,100,A_fresh_le_6mo,CN,"CLIA + NPI, no Medicare — bullseye: licensed + billing-ready, pre-Medicare-paperwork","CMB_CN_NO_M, C-2_ORGNL_LE_6MO, Q-REGISTRATION, N-1_NPI_LAB_TAX_MATCH",VKTR LABS LLC,,,,,10241 JOY ROAD,,DETROIT,MI,48204,(248) 914-1681,,23D2335273,Independent / Reference Lab,Registration,,2025-12-09,154,0,0,1003779315,VKTR LABS LLC,291U00000X,2025-12-03,160,,,BENJAMIN,HOLLAWAY,OWNER,2489141681
C10D2335167,S,100,A_fresh_le_6mo,CN,"CLIA + NPI, no Medicare — bullseye: licensed + billing-ready, pre-Medicare-paperwork","CMB_CN_NO_M, C-2_ORGNL_LE_6MO, Q-REGISTRATION, N-1_NPI_LAB_TAX_MATCH",TRUPATH DIAGNOSTICS PLLC,,,,,1625 SW 4TH AVE,STE 201,BOCA RATON,FL,33432,(954) 650-7039,,10D2335167,Independent / Reference Lab,Registration,,2025-12-08,155,0,0,1851257299,"TRUPATH DIAGNOSTICS, PLLC",291U00000X,2025-12-30,133,,,MATTHEW,SOSA,CHIEF OPERATING OFFICER,3522324749
